,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Antigüedad,Bodegas,Orientación
0,Moderno- Metro Ines De Suarez - Mariategui- Full Amoblad...,Departamento,Publicado hace 3 meses,2021-07-01,"Moderno- Metro Ines De Suarez - Mariategui- Full Amoblado Y Equipado, Campus Oriente, Providencia, RM (Metropolitana)",1.000.000,,"0,25 UF/m²","0,24 UF/m²",132 m²,120 m²,3,2,1,,,,,,,
1,Full Moderno / Remodelado Amoblado / A Pasos Del Metro P...,Departamento,Publicado hace 3 meses,2021-07-01,"Full Moderno / Remodelado Amoblado / A Pasos Del Metro Pedro De Valdivia Y Los Leones / Gastos Comunes Incluidos!, Pedro de Valdivia, Providencia, RM (Metropolitana)",500.000,,"0,37 UF/m²","0,34 UF/m²",45 m²,45 m²,1,1,,,,,,,,
2,"Cómodo, Full Amoblado Ricardo Lyon",Departamento,Publicado hace 3 meses,2021-07-01,"Cómodo, Full Amoblado Ricardo Lyon, Los Leones, Providencia, RM (Metropolitana)",550.000,,"0,34 UF/m²","0,34 UF/m²",55 m²,45 m²,1,1,,,,,,,,
3,Pocuro! Club Providencia,Departamento,Publicado hace 3 meses,2021-07-01,"Pocuro! Club Providencia, Metro Bilbao, Providencia, RM (Metropolitana)",850.000,,"0,3 UF/m²","0,28 UF/m²",94 m²,77 m²,2,2,,,,,,,,
4,Vista Privilegiada / Cercano A Metro Cristóbal Colon,Departamento,Publicado hace 3 días,2021-07-01,"El Bosque Sur 600 - 900, Las Lilas, Providencia, RM (Metropolitana)",700.000,,"0,27 UF/m²","0,28 UF/m²",86 m²,72 m²,2,2,1,120000 CLP,,,,,,
5,Vista Privilegiada / Cercano A Metro Cristóbal Colon,Departamento,Publicado hace 3 días,2021-07-01,"El Bosque Sur 600 - 900, Las Lilas, Providencia, RM (Metropolitana)",700.000,,"0,27 UF/m²","0,28 UF/m²",86 m²,72 m²,2,2,1,120000 CLP,,,,,,
6,Vista Privilegiada / Cercano A Metro Cristóbal Colon,Departamento,Publicado hace 3 días,2021-07-01,"El Bosque Sur 600 - 900, Las Lilas, Providencia, RM (Metropolitana)",700.000,,"0,27 UF/m²","0,28 UF/m²",86 m²,72 m²,2,2,1,120000 CLP,,,,,,
7,"Calle Huelén, Metro Salvador",Departamento,Publicado hace 3 meses,2021-07-01,"Calle Huelén, Metro Salvador, Salvador, Providencia, RM (Metropolitana)",670.000,,"0,38 UF/m²","0,29 UF/m²",60 m²,60 m²,2,1,,75000 CLP,,,,,,
8,Carlos Antunez 1960,Departamento,Publicado hace 3 meses,2021-07-01,"Carlos Antunez 1960, Manuel Montt, Providencia, RM (Metropolitana)",480.000,,"0,28 UF/m²","0,34 UF/m²",57 m²,49 m²,1,1,1,,,,,,,
9,"Oportuno Fco Bilbao, Lyon, Plaza La Alcaldesa",Departamento,Publicado hace 2 meses,2021-07-01,"Oportuno Fco Bilbao, Lyon, Plaza La Alcaldesa, Providencia, RM (Metropolitana)",750.000,,"0,14 UF/m²",,175 m²,155 m²,3,2,1,135000 CLP,,,,,,
10,Vista Despejada Oriente Luminoso Y Confortable 2d 2b,Departamento,Publicado hace 9 días,2021-07-01,"Peumo 900 - 1200, Los Leones, Providencia, RM (Metropolitana)",750.000,,"0,3 UF/m²","0,28 UF/m²",85.1 m²,75 m²,2,2,1,220000 CLP,,,,,,
11,Sector Leones / Aguilucho,Departamento,Publicado hace 2 meses,2021-07-01,"Consejo De Indias 1379, Campus Oriente, Providencia, RM (Metropolitana)",480.000,,"0,24 UF/m²","0,26 UF/m²",67 m²,65 m²,2,1,1,70000 CLP,,,,,,
12,Flamante  Departamento Living-comedor 2 Dormitorios ,Departamento,Publicado hace 2 meses,2021-07-01,"Holanda 1 - 300, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",600.000,,"0,28 UF/m²","0,28 UF/m²",71 m²,60 m²,2,2,1,,,,,,,
13,"Excelente Departamento Living-comedor Terraza, 2 Dormitorios",Departamento,Publicado hace 2 meses,2021-07-01,"Luis Tayher Ojeda 1420, Manuel Montt, Providencia, RM (Metropolitana)",580.000,,"0,3 UF/m²","0,28 UF/m²",66 m²,55 m²,2,2,1,,,,,,,
14,Plaza Pedro De Valdivia,Departamento,Publicado hace 2 meses,2021-07-01,"Plaza Pedro De Valdivia, Manuel Montt, Providencia, RM (Metropolitana)",550.000,,"0,37 UF/m²","0,34 UF/m²",50 m²,50 m²,1,1,1,80000 CLP,,,,,,
15,Eliodoro Yañez /  Francisco Bilbao,Departamento,Publicado hace 2 meses,2021-07-01,"Eliodoro Yañez /  Francisco Bilbao, Las Lilas, Providencia, RM (Metropolitana)",520.000,,"0,36 UF/m²","0,34 UF/m²",49 m²,46 m²,1,1,1,77000 CLP,,,,,,
16,"Se Arrienda Amplio Depto, Excelente Distribución Y Ubicación",Departamento,Publicado hace 2 meses,2021-07-01,"Santa Magdalena _-, Los Leones, Providencia, RM (Metropolitana)",380.000,,"0,3 UF/m²","0,34 UF/m²",42 m²,42 m²,1,1,,45000 CLP,7,10,12,20 años,,
17,Galvarino Gallardo 1940,Departamento,Publicado hace 47 días,2021-07-01,"Galvarino Gallardo 1800 - 2100, Pedro de Valdivia, Providencia, RM (Metropolitana)",600.000,,"0,22 UF/m²","0,28 UF/m²",90 m²,90 m²,2,2,1,115000 CLP,,,,,,
18,Departamento Un Ambiente,Departamento,Publicado hace 2 meses,2021-07-01,"Pedro De Valdivia 1 - 300, Manuel Montt, Providencia, RM (Metropolitana)",340.000,,"0,38 UF/m²","0,34 UF/m²",30 m²,30 m²,1,1,,,,,,,,
19,Holanda 87,Departamento,Publicado hace 2 meses,2021-07-01,"Holanda 87, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",600.000,,"0,21 UF/m²","0,28 UF/m²",95 m²,95 m²,2,2,1,,,,,,,
20,Departamento En Sexto Piso,Departamento,Publicado hace 2 meses,2021-07-01,"Pedro De Valdivia 1 - 300, Manuel Montt, Providencia, RM (Metropolitana)",350.000,,"0,39 UF/m²","0,34 UF/m²",30 m²,30 m²,1,1,,,,,,,,
21,Zzz,Departamento,Publicado hace 2 meses,2021-07-01,"Galvarino Gallardo 1800 - 2100, Pedro de Valdivia, Providencia, RM (Metropolitana)",600.000,,"0,22 UF/m²","0,28 UF/m²",90 m²,90 m²,2,2,1,115000 CLP,,,,,,
22,Departamento Con Vistas Despejadas,Departamento,Publicado hace 2 meses,2021-07-01,"Pedro De Valdivia 1 - 300, Manuel Montt, Providencia, RM (Metropolitana)",490.000,,"0,27 UF/m²",,62 m²,47 m²,1,1,,,,,,,,
23,Pocuro 2120 Depto Tipo Studio  + Est + Bod. Providencia ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Pocuro 2120 - Departamento 808, Providencia, RM (Metropolitana)",320.000,,"0,36 UF/m²","0,34 UF/m²",30 m²,30 m²,1,1,1,,,,,,,
24,Nueva Providencia 1765,Departamento,Publicado hace 2 meses,2021-07-01,"Nueva Providencia 1765, Pedro de Valdivia, Providencia, RM (Metropolitana)",360.000,,"0,22 UF/m²","0,29 UF/m²",55 m²,55 m²,2,1,,,,,,,,
25,San Juan De Luz 4060,Departamento,Publicado hace 2 meses,2021-07-01,"San Juan De Luz 4060, Metro Bilbao, Providencia, RM (Metropolitana)",480.000,,"0,32 UF/m²","0,34 UF/m²",50 m²,45 m²,1,1,1,,,,,,,
26,"Se Arrienda Depto., En Pleno Corazon De Providencia",Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Nueva Providencia 1372, Manuel Montt, Providencia, RM (Metropolitana)",550.000,,"0,29 UF/m²","0,28 UF/m²",63 m²,60 m²,2,2,1,,,,,,,
27,Nueva Providencia 2211,Departamento,Publicado hace 2 meses,2021-07-01,"Nueva Providencia 2211, Manuel Montt, Providencia, RM (Metropolitana)",350.000,,"0,29 UF/m²","0,34 UF/m²",40 m²,40 m²,1,1,,85000 CLP,,,,,,
28,Amplio Departamento En Arriendo,Departamento,Publicado hace 2 meses,2021-07-01,"Elena Blanco 1166, Inés de Suárez, Providencia, RM (Metropolitana)",450.000,,"0,31 UF/m²","0,34 UF/m²",49 m²,46 m²,1,1,1,,,,,,,
29,Avenida Hernando De Aguirre,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Hernando De Aguirre, Las Lilas, Providencia, RM (Metropolitana)",814.000,,"0,34 UF/m²","0,28 UF/m²",80 m²,80 m²,2,2,1,125000 CLP,,,,,,
30,Depto. 1 Dormitorio Con Estac Y Bodega Prov. Metro Los Leone,Departamento,Publicado hace 2 meses,2021-07-01,"Suecia 151, Los Leones, Providencia, RM (Metropolitana)",410.000,,"0,35 UF/m²","0,34 UF/m²",40 m²,38 m²,1,1,1,,,,,,,
31,Avenida Providencia 1765,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Providencia 1765, Pedro de Valdivia, Providencia, RM (Metropolitana)",600.000,,"0,24 UF/m²","0,26 UF/m²",84 m²,84 m²,3,2,,84110 CLP,,,,,,
32,Román Diaz / Valenzuela Castillo,Departamento,Publicado hace 2 meses,2021-07-01,"Román Diaz / Valenzuela Castillo, Salvador, Providencia, RM (Metropolitana)",800.000,,"0,29 UF/m²","0,26 UF/m²",93 m²,70 m²,3,2,1,,,,,,,
33,Pedro De Valdivia / Biarritz,Departamento,Publicado hace 2 meses,2021-07-01,"Pedro De Valdivia / Biarritz, Pedro de Valdivia, Providencia, RM (Metropolitana)",650.000,,"0,27 UF/m²","0,26 UF/m²",82 m²,78 m²,3,2,1,,,,,,,
34,Departamento Cercano Metro Tobalaba,Departamento,Publicado hace 2 meses,2021-07-01,"Carmen Sylva 2700 - 3000, Las Lilas, Providencia, RM (Metropolitana)",1.100.000,,"0,26 UF/m²","0,23 UF/m²",140 m²,130 m²,4,3,2,205000 CLP,,,,,,
35,Departamento Amoblado En Arriendo,Departamento,Publicado hace 2 meses,2021-07-01,"Carlos Antúnez 2100 - 2400, Los Leones, Providencia, RM (Metropolitana)",680.000,,"0,19 UF/m²","0,23 UF/m²",120 m²,110 m²,3,3,1,140000 CLP,,,,,,
36,Los Capitanes 1400,Departamento,Publicado hace 2 meses,2021-07-01,"Los Capitanes 1400, Inés de Suárez, Providencia, RM (Metropolitana)",610.000,,"0,29 UF/m²","0,28 UF/m²",70 m²,65 m²,2,2,1,85000 CLP,,,,,,
37,Excelente Departamento / Guardia Vieja,Departamento,Publicado hace 2 meses,2021-07-01,"Excelente Departamento / Guardia Vieja, Los Leones, Providencia, RM (Metropolitana)",700.000,,"0,25 UF/m²","0,28 UF/m²",96 m²,86 m²,2,2,,,,,,,,
38,Exclusivo Departamento Estilo Mariposa,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida El Bosque 1200 - 1500, Las Lilas, Providencia, RM (Metropolitana)",26,772.533,"0,28 UF/m²","0,28 UF/m²",91.75 m²,73.42 m²,2,2,1,150000 CLP,,,,,,
39,Providencia Esquina Suecia,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Providencia 2315, Los Leones, Providencia, RM (Metropolitana)",300.000,,"0,27 UF/m²","0,34 UF/m²",37 m²,37 m²,1,1,1,,,,,,,
40,Concordia / Av Ricardo Lyon / Lota / Providencia,Departamento,Publicado hace 42 días,2021-07-01,"Concordia / Av Ricardo Lyon / Lota / Providencia, Los Leones, Providencia, RM (Metropolitana)",1.000.000,,"0,25 UF/m²",,133 m²,109 m²,2,2,1,,,,,,,
41,Francisco Antonio Encina  1781,Departamento,Publicado hace 2 meses,2021-07-01,"Francisco Antonio Encina  1781, Pedro de Valdivia, Providencia, RM (Metropolitana)",420.000,,"0,34 UF/m²","0,34 UF/m²",42 m²,38 m²,1,1,1,60000 CLP,,,,,,
42,Estac / Bod / Av. Providencia / Padre Mariano 87,Departamento,Publicado hace 2 meses,2021-07-01,"Estac / Bod / Av. Providencia / Padre Mariano 87, Pedro de Valdivia, Providencia, RM (Metropolitana)",380.000,,"0,33 UF/m²","0,34 UF/m²",39 m²,37 m²,1,1,1,,,,,,,
43,Metro Bilbao,Departamento,Publicado hace 2 meses,2021-07-01,"Metro Bilbao, Metro Bilbao, Providencia, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,34 UF/m²",46 m²,43 m²,1,1,1,90000 CLP,,,,,,
44,"Carlos Antúnez, Metro Cristóbal Colón",Departamento,Publicado hace 2 meses,2021-07-01,"Carlos Antúnez, Metro Cristóbal Colón, Las Lilas, Providencia, RM (Metropolitana)",590.000,,"0,25 UF/m²","0,28 UF/m²",80 m²,70 m²,2,2,1,120000 CLP,,,,,,
45,"Carlos Antúnez, Metro Cristóbal Colón",Departamento,Publicado hace 2 meses,2021-07-01,"Carlos Antúnez, Metro Cristóbal Colón, Las Lilas, Providencia, RM (Metropolitana)",590.000,,"0,25 UF/m²","0,28 UF/m²",80 m²,70 m²,2,2,1,120000 CLP,,,,,,
46,Estupendo Departamento Central A Pasos Del Metro P.valdivia.,Departamento,Publicado hace 2 meses,2021-07-01,"Padre Mariano 87, Pedro de Valdivia, Providencia, RM (Metropolitana)",425.000,,"0,29 UF/m²","0,34 UF/m²",50 m²,48 m²,1,1,,,,,,,,
47,Departamento Amoblado 2d 2b Escritorio 1 Est 1 Bod,Departamento,Publicado hace 2 meses,2021-07-01,"Hernando De Aguirre 600 - 900, Manuel Montt, Providencia, RM (Metropolitana)",800.000,,"0,32 UF/m²","0,28 UF/m²",85 m²,80 m²,2,2,1,,,,,,,
48,"Impecable, Suecia Amoblado",Departamento,Publicado hace 2 meses,2021-07-01,"Impecable, Suecia Amoblado, Campus Oriente, Providencia, RM (Metropolitana)",2.000.000,,"0,36 UF/m²",,189 m²,140 m²,4,3,,,,,,,,
49,"La Concepción 1 - 300, Metro Pedro De Valdivia, Providencia",Departamento,Publicado hace 2 meses,2021-07-01,"La Concepción 1 - 300, Metro Pedro De Valdivia, Providencia, Pedro de Valdivia, Providencia, RM (Metropolitana)",360.000,,"0,31 UF/m²","0,34 UF/m²",39 m²,39 m²,1,1,,,,,,,,
50,La Concepción / Francisco Encina - Estacionamiento Y Bod...,Departamento,Publicado hace 2 meses,2021-07-01,"La Concepción / Francisco Encina - Estacionamiento Y Bodega!!, Pedro de Valdivia, Providencia, RM (Metropolitana)",690.000,,"0,37 UF/m²","0,28 UF/m²",63 m²,54 m²,2,2,1,,,,,,,
51,Studio Pedro De Valdivia / Nueva Providencia,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Pedro De Valdivia 1 - 300, Pedro de Valdivia, Providencia, RM (Metropolitana)",285.000,,"0,38 UF/m²","0,34 UF/m²",25 m²,25 m²,1,1,,65000 CLP,,,,,,
52,"Moderno, Frente Plaza Las Lilas, Gran Terraza, Equipado",Departamento,Publicado hace 2 meses,2021-07-01,"Carlos Silva Vildósola 1200 - 1500, Las Lilas, Providencia, RM (Metropolitana)",54,1.604.491,"0,35 UF/m²","0,24 UF/m²",155 m²,120 m²,3,2,2,,,,,,,
53," Depto Ubicado Cerca Del Metro Los Leones,  ",Departamento,Publicado hace 2 meses,2021-07-01,"Diego De Velazques 1800 - 2100, Manuel Montt, Providencia, RM (Metropolitana)",380.000,,"0,35 UF/m²","0,34 UF/m²",37 m²,35 m²,1,1,1,70000 CLP,,,,,,
54,"Carlos Antunez / El Bosque , Excelente Dpto. Cercano Metro ",Departamento,Publicado hace 2 meses,2021-07-01,"Carlos Antúnez 2700 - 3000, Las Lilas, Providencia, RM (Metropolitana)",700.000,,"0,2 UF/m²","0,23 UF/m²",120 m²,110 m²,3,3,1,140000 CLP,,,,,,
55,Oportunidad!!!! Amplio Cómodo Departamento Inmejorable Z...,Departamento,Publicado hace 2 meses,2021-07-01,"Oportunidad!!!! Amplio Cómodo Departamento Inmejorable Zona Providencia, Pedro De Valdivia 150, Muy Discreto, Facilidades Con Extranjeros, $30.000 Diarios,, Pedro de Valdivia, Providencia, RM (Metropolitana)",30.000,,"0,03 UF/m²","0,34 UF/m²",40 m²,40 m²,1,1,,,,,,,,
56,Ezequías Alliende 2377,Departamento,Publicado hace 2 meses,2021-07-01,"Ezequías Alliende 2377, Los Leones, Providencia, RM (Metropolitana)",650.000,,"0,31 UF/m²","0,28 UF/m²",71 m²,68 m²,2,2,1,80000 CLP,,,,,,
57,Amoblado Holanda 1 - 300,Departamento,Publicado hace 36 días,2021-07-01,"Amoblado Holanda 1 - 300, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",720.000,,"0,26 UF/m²","0,28 UF/m²",95 m²,95 m²,2,2,,,,,,,,
58,Carlos Antunes / Ricardo Lyon,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Ricardo Lyon 600 - 900, Los Leones, Providencia, RM (Metropolitana)",750.000,,"0,23 UF/m²",,111 m²,91 m²,3,2,1,,,,,,,
59,Antonio Varas Con Metro Manuel Montt,Departamento,Publicado hace 2 meses,2021-07-01,"Antonio Varas Con Metro Manuel Montt, Manuel Montt, Providencia, RM (Metropolitana)",850.000,,"0,26 UF/m²","0,25 UF/m²",110 m²,110 m²,3,2,1,130000 CLP,,,,5 años,,
60,Diego De Velásquez 2071 - Departamento 666,Departamento,Publicado hace 2 meses,2021-07-01,"Diego De Velásquez 2071 - Departamento 666, Providencia, RM (Metropolitana)",460.000,,"0,34 UF/m²","0,34 UF/m²",45 m²,40 m²,1,1,1,85000 CLP,,,,,,
61,Amoblado Francisco Bilbao / Román Díaz,Departamento,Publicado hace 2 meses,2021-07-01,"Amoblado Francisco Bilbao / Román Díaz, Barrio Italia, Providencia, RM (Metropolitana)",800.000,,"0,38 UF/m²","0,28 UF/m²",71 m²,57 m²,2,2,1,,,,,,,
62,Con O Sin Amoblar Pocuro / Plaza Río De Janeiro,Departamento,Publicado hace 2 meses,2021-07-01,"Con O Sin Amoblar Pocuro / Plaza Río De Janeiro, Las Lilas, Providencia, RM (Metropolitana)",50,1.485.640,"0,39 UF/m²","0,23 UF/m²",129 m²,114 m²,3,3,1,,,,,,,
63,"Oportunidad, Maravilloso Departamento, Inmejorable",Departamento,Publicado hace 2 meses,2021-07-01,"República De Cuba 1500 - 1800, Las Lilas, Providencia, RM (Metropolitana)",550.000,,"0,3 UF/m²",,62 m²,57 m²,1,1,1,120000 CLP,,,,,,
64,Departamento Federico Froebel,Departamento,Publicado hace 2 meses,2021-07-01,"Federico Froebel 1500 - 1800, Pedro de Valdivia, Providencia, RM (Metropolitana)",380.000,,"0,3 UF/m²","0,34 UF/m²",43 m²,40 m²,1,1,1,,,,,,,
65,Pedro De Valdivia / Nueva Providencia,Departamento,Publicado hace 2 meses,2021-07-01,"Pedro De Valdivia / Nueva Providencia, Manuel Montt, Providencia, RM (Metropolitana)",380.000,,"0,38 UF/m²","0,34 UF/m²",34 m²,34 m²,1,1,,,,,,,,
66,Espectacular Departamento,Departamento,Publicado hace 2 meses,2021-07-01,"Ladislao Errázuriz 2100 - 2400, Los Leones, Providencia, RM (Metropolitana)",430.000,,"0,27 UF/m²","0,34 UF/m²",53 m²,48 m²,1,1,1,140000 CLP,,,,,,
67,Se Arrienda Depto-sector El Bosque-metro Bilbao-providencia,Departamento,Publicado hace 2 meses,2021-07-01,"Se Arrienda Depto-sector El Bosque-metro Bilbao-providencia, Metro Bilbao, Providencia, RM (Metropolitana)",600.000,,"0,23 UF/m²","0,26 UF/m²",87 m²,72 m²,2,1,1,,,,,,,
68,Diego De Almagro Pedro De Valdivia,Departamento,Publicado hace 2 meses,2021-07-01,"Willie Arthur 1800 - 2100, Inés de Suárez, Providencia, RM (Metropolitana)",350.000,,"0,33 UF/m²","0,34 UF/m²",36 m²,36 m²,1,1,1,85000 CLP,,,,,,
69,Carmen Sylva / Luis Thayer Ojeda,Departamento,Publicado hace 2 meses,2021-07-01,"Carneb Sylva / Luis Thayer Ojeda, Las Lilas, Providencia, RM (Metropolitana)",600.000,,"0,27 UF/m²","0,28 UF/m²",74 m²,70 m²,2,2,1,180000 CLP,,,,,,
70,Departamento Vista Privelegiada,Departamento,Publicado hace 2 meses,2021-07-01,"Doctor Pedro Lautaro Ferrer 2700 - 3000, Campus Oriente, Providencia, RM (Metropolitana)",590.000,,"0,25 UF/m²","0,28 UF/m²",78 m²,73 m²,2,2,1,,,,,,,
71,Depto En Eliodoro Yañez / Ricardo Lyon,Departamento,Publicado hace 2 meses,2021-07-01,"Depto En Eliodoro Yañez / Ricardo Lyon, Los Leones, Providencia, RM (Metropolitana)",950.000,,"0,23 UF/m²",,140 m²,140 m²,2,2,,,,,,,,
72,Depto En Eliodoro Yañez / Ricardo Lyon,Departamento,Publicado hace 2 meses,2021-07-01,"Depto En Eliodoro Yañez / Ricardo Lyon, Los Leones, Providencia, RM (Metropolitana)",950.000,,"0,23 UF/m²",,140 m²,140 m²,2,2,,,,,,,,
73,Pocuro - Lyon,Departamento,Publicado hace 2 meses,2021-07-01,"Pocuro - Lyon, Inés de Suárez, Providencia, RM (Metropolitana)",400.000,,"0,3 UF/m²","0,34 UF/m²",45 m²,40 m²,1,1,,,,,,,,
74,A Pasos Metro Tobalaba,Departamento,Publicado hace 2 meses,2021-07-01,"A Pasos Metro Tobalaba, Las Lilas, Providencia, RM (Metropolitana)",670.000,,"0,27 UF/m²","0,28 UF/m²",84 m²,72 m²,2,2,2,,,,,,,
75,"Oelckers Arrienda, Impecable Departamento En Metro Tobalaba",Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Luis Thayer Ojeda 300 - 600, Las Lilas, Providencia, RM (Metropolitana)",670.000,,"0,27 UF/m²","0,28 UF/m²",84 m²,72 m²,2,2,2,,,,,,,
76,¡excelente Ubicación A Pasos De Todo! ,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Manuel Montt 051, Manuel Montt, Providencia, RM (Metropolitana)",490.000,,"0,28 UF/m²",,58 m²,58 m²,3,2,,,,,,,,
77,"Como Nuevo, Linda Vista",Departamento,Publicado hace 2 meses,2021-07-01,"Europa 2121, Providencia, RM (Metropolitana)",14,430.836,"0,36 UF/m²","0,34 UF/m²",40 m²,35 m²,1,1,1,87000 CLP,,,,14 años,,
78,Thayer Ojeda / Providencia,Departamento,Publicado hace 2 meses,2021-07-01,"Thayer Ojeda / Providencia, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",570.000,,"0,23 UF/m²","0,26 UF/m²",84 m²,84 m²,3,2,,,,,,,,
79,Antonio Ballet 90 - Metro Manuel Montt Y Pedro De Valdivia,Departamento,Publicado hace 42 días,2021-07-01,"Antonio Ballet 90 - Metro Manuel Montt Y Pedro De Valdivia, Pedro de Valdivia, Providencia, RM (Metropolitana)",530.000,,"0,3 UF/m²","0,32 UF/m²",60 m²,50 m²,2,2,1,,,,,,,
80,Luminoso Departamento Con Vista Nororiente,Departamento,Publicado hace 2 meses,2021-07-01,"Carmen Sylva 2850, Las Lilas, Providencia, RM (Metropolitana)",520.000,,"0,29 UF/m²","0,31 UF/m²",60 m²,60 m²,2,2,1,,,,,,,
81,Departamento Austria / Ricardo Lyon,Departamento,Publicado hace 2 meses,2021-07-01,"Austria 1800 - 2100, Pedro de Valdivia, Providencia, RM (Metropolitana)",550.000,,"0,25 UF/m²","0,28 UF/m²",73 m²,73 m²,2,2,2,146000 CLP,,,,,,
82,Departamento A Pasos Del Metro Pedro De Valdivia,Departamento,Publicado hace 2 meses,2021-07-01,"Padre Mariano 87, Pedro de Valdivia, Providencia, RM (Metropolitana)",400.000,,"0,41 UF/m²","0,34 UF/m²",33 m²,33 m²,1,1,1,,,,,,,
83,"3 Estac Y 2 Bodegas, Amplio, Gran Suite, Edificio Exclusivo",Departamento,Publicado hace 31 días,2021-07-01,"Plaza Las Lilas / Hernando De Aguirre 1 - 300, Las Lilas, Providencia, RM (Metropolitana)",1.300.000,,"0,22 UF/m²",,200 m²,160 m²,4,3,3,350000 CLP,,,,,,
84,Departamento Amoblado Impecable Tranquilo,Departamento,Publicado hace 2 meses,2021-07-01,"Ricardo Lyon 505, Manuel Montt, Providencia, RM (Metropolitana)",750.000,,"0,27 UF/m²","0,25 UF/m²",95 m²,90 m²,3,3,,120000 CLP,,,,12 años,,
85,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
86,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
87,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
88,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
89,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
90,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
91,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
92,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
93,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
94,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
95,"San Pio X 2555, A Pasos Del Metro Tobalaba ",Departamento,Publicado hace 2 meses,2021-07-01,"San Pío X 2555, Metro Tobalaba - Mall Costanera, Providencia, RM (Metropolitana)",405.000,,"0,32 UF/m²","0,34 UF/m²",43.12 m²,39.2 m²,1,1,,85000 CLP,,,,,,
