,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Antigüedad,Bodegas,Orientación
639,"Martinez De Rozas 4037, Quinta Normal ",Departamento,Publicado hace 57 días,2021-07-01,"Martínez De Rozas 4037, Gruta de Lourdes, Quinta Normal, RM (Metropolitana)",290.000,,"0,2 UF/m²","0,25 UF/m²",49 m²,45 m²,2,1,,70000 CLP,,,,,,
640,Santo Domingo 4259 - Departamento 503,Departamento,Publicado hace 50 días,2021-07-01,"Santo Domingo 4259 - Departamento 300 - 600, Gruta de Lourdes, Quinta Normal, RM (Metropolitana)",199.000,,"0,29 UF/m²",,23 m²,23 m²,1,1,,,,,,,,
641,"Rivas Vicuña 1590, 2 Dormitorios,1 Baño, Entrega",Departamento,Publicado hace 44 días,2021-07-01,"Rivas Vicuña 1500 - 1800, Parque Padre Renato Poblete, Quinta Normal, RM (Metropolitana)",300.000,,"0,2 UF/m²","0,25 UF/m²",50 m²,50 m²,2,1,,,,,,,,
642,Las Rejas Sur 65 A Dos Calles De Alameda,Departamento,Publicado hace 38 días,2021-07-01,"Avenida Las Rejas Sur 65, Metro Las Rejas, Estación Central, RM (Metropolitana)",270.000,,"0,27 UF/m²","0,25 UF/m²",34 m²,34 m²,2,1,,,,,,,,
643," Depto, Excelente Conectividad Entre Dos Estaciones De Metro",Departamento,Publicado hace 37 días,2021-07-01,"Gaspar De Orense 600 - 900, Blanqueado, Quinta Normal, RM (Metropolitana)",230.000,,"0,22 UF/m²",,35 m²,32 m²,1,1,,25000 CLP,,,,,,
644,"Depto Estudio, Santo Domingo",Departamento,Publicado hace 36 días,2021-07-01,"Santo Domingo 4200 - 4500, Salvador Gutiérrez, Quinta Normal, RM (Metropolitana)",220.000,,"0,25 UF/m²",,29.97 m²,29.97 m²,1,1,,,,,,,,
645,Depto 1 Dormitorio Santo Domingo,Departamento,Publicado hace 30 días,2021-07-01,"Santo Domingo 4200 - 4500, Salvador Gutiérrez, Quinta Normal, RM (Metropolitana)",250.000,,"0,3 UF/m²",,28.35 m²,28.35 m²,1,1,,,,,,,,
646,Dpto. Con Excelente Ubicación,Departamento,Publicado hace 35 días,2021-07-01,"Santo Domingo 4259, Gruta de Lourdes, Quinta Normal, RM (Metropolitana)",310.000,,"0,27 UF/m²","0,25 UF/m²",39 m²,38 m²,2,1,,50000 CLP,,,,,,
647," Depto, Excelente Conectividad Entre Dos Estaciones De Metro",Departamento,Publicado hace 35 días,2021-07-01,"Gaspar De Orense 600 - 900, Blanqueado, Quinta Normal, RM (Metropolitana)",230.000,,"0,22 UF/m²",,35 m²,32 m²,1,1,,25000 CLP,,,,,,
648,Excelente Departamento En Arriendo De 2 Dormitorios,Departamento,Publicado hace 34 días,2021-07-01,"Juan De Barros 3885, Parque Padre Renato Poblete, Quinta Normal, RM (Metropolitana)",260.000,,"0,18 UF/m²","0,25 UF/m²",50 m²,50 m²,2,1,,38000 CLP,,,,,,
649,Arriendo Frente Metro Gruta Lourdes,Departamento,Publicado hace 33 días,2021-07-01,"San Pablo 4025 - Departamento 1605, Gruta de Lourdes, Quinta Normal, RM (Metropolitana)",420.000,,"0,23 UF/m²",,60.5 m²,56.3 m²,2,2,1,50000 CLP,,,,,,
650,Oportunidad Rebajado,Departamento,Publicado hace 33 días,2021-07-01,"San Pablo 3600 - 3900, Salvador Gutiérrez, Quinta Normal, RM (Metropolitana)",285.000,,"0,19 UF/m²","0,25 UF/m²",51 m²,48 m²,2,1,,,,,,,,
651,Metro Gruta Lourdes Luminoso Departamento,Departamento,Publicado hace 32 días,2021-07-01,"Santo Domingo 4259 - Departamento 300 - 600, Gruta de Lourdes, Quinta Normal, RM (Metropolitana)",255.000,,"0,23 UF/m²",,37 m²,35 m²,1,1,,,,,,,,
652,Departamento Estudio Santo Domingo,Departamento,Publicado hace 30 días,2021-07-01,"Santo Domingo 4259 - Departamento 501, Gruta de Lourdes, Quinta Normal, RM (Metropolitana)",205.000,,"0,28 UF/m²",,25 m²,25 m²,1,1,,,,,,,,
653,Se Arrienda Departamento En Quinta Normal,Departamento,Publicado hace 30 días,2021-07-01,"Rivas Vicuña 1590, Parque Padre Renato Poblete, Quinta Normal, RM (Metropolitana)",350.000,,"0,23 UF/m²",,52 m²,48 m²,3,1,,,,,,,,
654,Arriendo Departamento 2d+1b+1e Quinta Normal ,Departamento,Publicado hace 30 días,2021-07-01,"Juan De Barros 3885, Parque Padre Renato Poblete, Quinta Normal, RM (Metropolitana)",370.000,,"0,23 UF/m²",,55 m²,55 m²,2,1,1,50000 CLP,,,,,,
