,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
373,...,Departamento,Publicado hace 13 días,2021-07-01,"Avenida Presidente Riesco 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",650.000,,"0,31 UF/m²","0,33 UF/m²",71 m²,63 m²,2,2,,1,,,,
374,Rebajado Coordine Visita,Departamento,Publicado hace 13 días,2021-07-01,"Zurich 1800 - 2100, Centro Financiero, Las Condes, RM (Metropolitana)",350.000,,"0,32 UF/m²","0,37 UF/m²",37 m²,37 m²,1,1,,,,,,
375,"Arrienda 2 D Grandes, Manquehue Full Equipado !! Available !",Departamento,Publicado hace 13 días,2021-07-01,"Las Malvas 610 - Departamento 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",28,831.958,"0,28 UF/m²","0,33 UF/m²",100 m²,96 m²,2,2,,1,,,,
376,"Semiamoblado, Moderno, 2 Suites, M. Alcantara ",Departamento,Publicado hace 13 días,2021-07-01,"Hamlet 4145 - Departamento 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",840.000,,"0,31 UF/m²","0,33 UF/m²",89.9 m²,77.4 m²,2,2,150000 CLP,1,,,,
377,Parque Arauco - Cerro Colorado. 2d+2b+e+b    Imperdible,Departamento,Publicado hace 13 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",800.000,,"0,27 UF/m²","0,33 UF/m²",100 m²,80 m²,2,2,,1,,,,
378,"Moderno 2 Dormitorios, 2 Baños, Cocina Y Logia Aparte,",Departamento,Publicado hace 13 días,2021-07-01,"Escandinavia 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",880.000,,"0,39 UF/m²","0,33 UF/m²",76 m²,76 m²,2,2,,1,,,,
379,Amoblado Vista Panorámica Los Alpes,Departamento,Publicado hace 13 días,2021-07-01,"Los Alpes 900 - 1200, Rotonda Atenas, Las Condes, RM (Metropolitana)",800.000,,"0,32 UF/m²","0,33 UF/m²",83.4 m²,75 m²,2,2,130000 CLP,1,,,,
380,"Gran Vista Parque Araucano Despejada, Amplios Espacios ",Departamento,Publicado hace 13 días,2021-07-01,"Cerro Colorado 6028, Parque Arauco, Las Condes, RM (Metropolitana)",1.150.000,,"0,39 UF/m²","0,33 UF/m²",100 m²,83 m²,2,2,240000 CLP,,,,,
381,"Gran Vista Parque Araucano Despejada, Amplios Espacios",Departamento,Publicado hace 13 días,2021-07-01,"Cerro Colorado 6028, Parque Arauco, Las Condes, RM (Metropolitana)",1.000.000,,"0,34 UF/m²","0,33 UF/m²",100 m²,83 m²,2,2,240000 CLP,1,,,,
382,Parque Arauco,Departamento,Publicado hace 12 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",600.000,,"0,37 UF/m²",,55 m²,55 m²,1,1,80000 CLP,1,,,,
383,El Golf,Departamento,Publicado hace 12 días,2021-07-01,"San Crescente 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.400.000,,"0,31 UF/m²","0,27 UF/m²",150 m²,140 m²,3,2,240000 CLP,2,,,,
384,Hermoso Departamento A Estrenar En Torre Nk Bersa,Departamento,Publicado hace 12 días,2021-07-01,"Avenida Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",850.000,,"0,39 UF/m²","0,33 UF/m²",74 m²,61 m²,2,2,130000 CLP,1,,,,
385,Amoblado Sector El Bosque Norte.,Departamento,Publicado hace 12 días,2021-07-01,"San Sebastián 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",470.000,,"0,3 UF/m²","0,37 UF/m²",53 m²,50 m²,1,1,60000 CLP,1,,,,
386,Parque Arauco - Moderno -  Sin Muebles Semi Equipado!,Departamento,Publicado hace 12 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",1.000.000,,"0,29 UF/m²","0,35 UF/m²",117 m²,97 m²,2,2,,1,,,,
387,Precioso Depto. Linda Vista - Gotemburgo - Los Militares,Departamento,Publicado hace 12 días,2021-07-01,"Gotemburgo 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.100.000,,"0,26 UF/m²","0,29 UF/m²",140 m²,140 m²,4,4,214000 CLP,2,,,,
388,Departamento Barrio El Golf / Augusto Leguia,Departamento,Publicado hace 12 días,2021-07-01,"Augusto Leguía Norte 44 - Departamento 1203, Barrio El Golf, Las Condes, RM (Metropolitana)",850.000,,"0,28 UF/m²","0,29 UF/m²",104 m²,100 m²,3,2,,1,,,,
389,"Amplio Departamento, Una Cuadra Del Metro El Golf /",Departamento,Publicado hace 12 días,2021-07-01,"Napoleón 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",31,931.496,"0,17 UF/m²","0,26 UF/m²",190 m²,160 m²,4,3,290000 CLP,2,,,,
390,"Amplio Departamento, Una Cuadra Del Metro El Golf /",Departamento,Publicado hace 12 días,2021-07-01,"Napoleón 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",31,931.496,"0,17 UF/m²","0,26 UF/m²",190 m²,160 m²,4,3,290000 CLP,2,,,,
391,Rico Departamento Sector Hernando De Magallanes / Av. Colón,Departamento,Publicado hace 12 días,2021-07-01,"Los Alpes 600 - 900, Rotonda Atenas, Las Condes, RM (Metropolitana)",40,1.194.454,"0,32 UF/m²","0,28 UF/m²",125 m²,110 m²,4,3,,1,,,,
392,"Depto - Amplios Espacios, Gran Vista De Todas Las Terrazas.",Departamento,Publicado hace 11 días,2021-07-01,"Gustavo V 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.490.000,,"0,3 UF/m²","0,26 UF/m²",170 m²,140 m²,3,3,250000 CLP,2,,,,
393,Depto. Excelente Estado Colón Con H. De Magallanes ,Departamento,Publicado hace 11 días,2021-07-01,"Hernando De Magallanes 900 - 1200, Rotonda Atenas, Las Condes, RM (Metropolitana)",1.000.000,,"0,24 UF/m²","0,28 UF/m²",140 m²,130 m²,3,3,,2,,,,
394,Departamento Muy Bien Ubicado A Pasos De Colon Y A Vespucio,Departamento,Publicado hace 10 días,2021-07-01,"Alicante 900 - 1200, Vaticano, Las Condes, RM (Metropolitana)",580.000,,"0,25 UF/m²","0,33 UF/m²",79 m²,75 m²,2,2,,1,,,,
395,Cerro Colorado Parque Arauco Sin Muebles,Departamento,Publicado hace 10 días,2021-07-01,"Cerro Colorado 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",700.000,,"0,36 UF/m²","0,33 UF/m²",65 m²,60 m²,2,2,,1,,,,
396,Departamento Moderno / Metro Manquehue / Apoquindo,Departamento,,2021-07-01,"Rosario Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.590.000,,"0,31 UF/m²","0,26 UF/m²",171 m²,139 m²,3,3,250000 CLP,2,3 años,,,
397,Depto Para Venta O Arriendo/ Bosque Norte,Departamento,Publicado hace 9 días,2021-07-01,"Zurich 1 - 300, Centro Financiero, Las Condes, RM (Metropolitana)",900.000,,"0,25 UF/m²","0,3 UF/m²",119 m²,100 m²,4,3,,2,,,,
398,Cantagallo,Departamento,Publicado hace 9 días,2021-07-01,"Avenida Las Condes 11700 - 12000, Tabancura, Vitacura, RM (Metropolitana)",24,713.107,0 UF/m²,,95 m²,90 m²,2,2,,1,,,,
399,Lindo Departamento Amoblado En La Mejor Ubicacion Del Golf,Departamento,Publicado hace 9 días,2021-07-01,"Luz 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,31 UF/m²","0,28 UF/m²",120 m²,120 m²,3,3,135000 CLP,1,,,,
400,Precioso Departamento Amoblado En Pleno Centro Financiero!,Departamento,Publicado hace 9 días,2021-07-01,"Helvecia 1 - 300, Centro Financiero, Las Condes, RM (Metropolitana)",530.000,,"0,47 UF/m²","0,37 UF/m²",38 m²,33 m²,1,1,70000 CLP,1,,,,
401,Espectacular Departamento Colon - Malaga,Departamento,Publicado hace 9 días,2021-07-01,"Málaga 1020 - Departamento 300 - 600, Vaticano, Las Condes, RM (Metropolitana)",630.000,,"0,19 UF/m²",,110 m²,110 m²,4,2,,1,,,,
402,Vista Cordillera/ Callao / Exclusivo Amoblado,Departamento,Publicado hace 9 días,2021-07-01,"Callao 3600 - 3900, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,37 UF/m²","0,28 UF/m²",145 m²,135 m²,4,3,260000 CLP,1,,,,
403,El Golf / Augusto Leguia,Departamento,Publicado hace 9 días,2021-07-01,"Augusto Leguía Norte 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",800.000,,"0,23 UF/m²","0,28 UF/m²",118 m²,110 m²,3,3,180000 CLP,1,,,,
404,Puerto De Caldera / Geronimo De Alderete,Departamento,Publicado hace 9 días,2021-07-01,"Puerto De Caldera / Geronimo De Alderete, Parque Arauco, Las Condes, RM (Metropolitana)",40,1.202.477,"0,29 UF/m²","0,28 UF/m²",140 m²,120 m²,3,3,,,,,,
405,Neveria / Estadio Español,Departamento,Publicado hace 9 días,2021-07-01,"Neveria / Estadio Español, Metro Escuela Militar, Las Condes, RM (Metropolitana)",33,980.522,"0,22 UF/m²","0,27 UF/m²",152 m²,140 m²,3,2,,,,,,
406,Pte Errazuriz / Villa María,Departamento,Publicado hace 9 días,2021-07-01,"Pte Errazuriz / Villa María, Barrio El Golf, Las Condes, RM (Metropolitana)",800.000,,"0,19 UF/m²","0,3 UF/m²",140 m²,140 m²,2,2,,,,,,
