,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Bodegas,Número de piso de la unidad,Departamentos por piso
300,Escandinavia / San Olav / Narvik / Las Condes,Departamento,Publicado hace 15 días,2021-07-01,"Escandinavia 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",950.000,,"0,3 UF/m²","0,33 UF/m²",107 m²,92 m²,2,2,,1,,,,
301,Orinoco Metro Escuela Militar ,Departamento,Publicado hace 15 días,2021-07-01,"Orinoco 1 - 300, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",395.000,,"0,4 UF/m²","0,37 UF/m²",33 m²,33 m²,1,1,,,,,,
302,Ebro / Metro Tobalaba ,Departamento,Publicado hace 15 días,2021-07-01,"Ebro 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",430.000,,"0,34 UF/m²","0,37 UF/m²",43 m²,39 m²,1,1,,1,,,,
303,Excelente Departamento,Departamento,Publicado hace 15 días,2021-07-01,"El Golf 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",43,1.277.650,"0,31 UF/m²","0,27 UF/m²",140 m²,125 m²,3,2,300000 CLP,2,,,,
304, Manquehue  Kennedy Parque Arauco,Departamento,Publicado hace 15 días,2021-07-01,"Manquehue Norte 900 - 1200, Parque Arauco, Las Condes, RM (Metropolitana)",580.000,,"0,4 UF/m²","0,37 UF/m²",48.71 m²,41.21 m²,1,1,,1,,,,
305,Nethaus Vende Excelente Depto. Foster Norte,Departamento,Publicado hace 15 días,2021-07-01,"Enrique Foster 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.150.000,,"0,24 UF/m²","0,28 UF/m²",160 m²,140 m²,4,3,,2,,,,
306,Metro Manquehue - Rosario Sur,Departamento,Publicado hace 15 días,2021-07-01,"Rosario Sur 600 - 900, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",450.000,,"0,3 UF/m²","0,37 UF/m²",50 m²,42 m²,1,1,,1,,,,
307,Departamento Frente Parque San Pablo Ii,Departamento,Publicado hace 15 días,2021-07-01,"Cerro Colorado 6160 - Departamento 1 - 300, Parque Arauco, Las Condes, RM (Metropolitana)",1.100.000,,"0,23 UF/m²","0,28 UF/m²",160 m²,145 m²,3,3,,2,,,,
308,"Edificio Moderno En Calle Tranquila, Vista Urbana Despejada",Departamento,Publicado hace 15 días,2021-07-01,"Alsacia 145, Barrio El Golf, Las Condes, RM (Metropolitana)",870.000,,"0,4 UF/m²","0,33 UF/m²",74 m²,70 m²,2,2,140000 CLP,1,,,,
309,Excelente Departamento En Inmejorable Ubicación.,Departamento,Publicado hace 15 días,2021-07-01,"Avenida Las Condes 12300 - 12600, Mall Sport, Las Condes, RM (Metropolitana)",15,445.692,"0,33 UF/m²","0,37 UF/m²",45.42 m²,45.42 m²,1,1,85000 CLP,1,,,,
