,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Ambientes,Bodegas,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Orientación
1865,Departamento En Arriendo De 2 Dormitorios En Santiago,Departamento,Publicado hace 3 meses,2021-07-02,"Santa Victoria Con Lira, Santa Isabel, Santiago, RM (Metropolitana)",360.000,,"0,21 UF/m²","0,84 UF/m²",57 m²,57 m²,2,2,70000 CLP,,,,,,,,
1866,Santa Victoria Con Angamos,Departamento,Publicado hace 3 meses,2021-07-02,"Santa Victoria Con Angamos, Santa Isabel, Santiago, RM (Metropolitana)",320.000,,"0,23 UF/m²","0,26 UF/m²",46 m²,42 m²,2,2,,,,3,,,,20,SUR
1867,Parque Araucano ,Departamento,Publicado hace 3 meses,2021-07-02,"Parque Araucano, Parque Arauco, Las Condes, RM (Metropolitana)",1.100.000,,"0,34 UF/m²","0,29 UF/m²",110 m²,100 m²,3,2,140000 CLP,1,,3,1,,,11,NORTE
1868,Departamento En Arriendo De 3 Dorm. En Las Condes,Departamento,Publicado hace 3 meses,2021-07-02,"Camino Del Alba, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",1.200.000,,"0,34 UF/m²","0,28 UF/m²",119 m²,119 m²,3,3,250000 CLP,2,,,,,,,
1869,Departamento En Arriendo De 3 Dorm. En Las Condes,Departamento,Publicado hace 3 meses,2021-07-02,"Hermanos Cabot, Parque Arauco, Las Condes, RM (Metropolitana)",1.350.000,,"0,24 UF/m²","0,26 UF/m²",186 m²,146 m²,3,3,,2,,,,,,,
1870,Departamento En Arriendo De 3 Dorm. En Las Condes,Departamento,,2021-07-02,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",950.000,,"0,26 UF/m²","0,27 UF/m²",125 m²,120 m²,3,2,170000 CLP,2,,,,,,,
1871,Departamento En Arriendo De 2 Dorm. En Vitacura,Departamento,,2021-07-02,"Penthouse | Museo Ralli, Parque Bicentenario, Vitacura, RM (Metropolitana)",2.100.000,,"0,24 UF/m²",,300 m²,130 m²,2,3,250000 CLP,2,,,,,,,
1872,Jorge Vi / Apoquindo,Departamento,Publicado hace 3 meses,2021-07-02,"Jorge Vi / Apoquindo, Metro Escuela Militar, Las Condes, RM (Metropolitana)",700.000,,"0,29 UF/m²","0,33 UF/m²",80 m²,79 m²,2,2,100000 CLP,1,,2,1,,,,
1873,Departamento En Arriendo De 6 Dormitorios En Vitacura,Departamento,Publicado hace 3 meses,2021-07-02,"Duplex Con Jardín / Agua Del Palo / Santa Maria, Santa María de Manquehue, Vitacura, RM (Metropolitana)",120,3.565.536,"0,15 UF/m²",,800 m²,420 m²,6,5,,5,,,,,,,
1874,Departamento En Arriendo De 2 Dormitorios En Vitacura,Departamento,Publicado hace 3 meses,2021-07-02,"Amoblado / Museo Ralli / Plaza Turquia / Alonso De Sotomayor, Parque Bicentenario, Vitacura, RM (Metropolitana)",1.800.000,,"0,36 UF/m²",,170 m²,150 m²,2,4,,2,,,,,,,
1875,Departamento En Arriendo De 3 Dorm. En Las Condes,Departamento,Publicado hace 3 meses,2021-07-02,"El Golf / El Dante / Pdte Riesco, Metro Escuela Militar, Las Condes, RM (Metropolitana)",2.000.000,,"0,41 UF/m²","0,26 UF/m²",165 m²,140 m²,3,3,,,,,,,,,
1876,Departamento En Arriendo De 1 Dorm. En Estación Central,Departamento,,2021-07-02,"Avda. Ecuador, Universidad de Santiago, Estación Central, RM (Metropolitana)",230.000,,"0,25 UF/m²","0,26 UF/m²",31 m²,28 m²,1,1,55000 CLP,,,,,,,,
1877,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,,2021-07-02,"Huérfanos Con Enrique Mac Iver, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",310.000,,"0,43 UF/m²","0,72 UF/m²",24 m²,24 m²,1,1,41000 CLP,,,,,,,,
1878,Departamento En Arriendo De 1 Dorm. En Santiago,Departamento,,2021-07-02,"Curicó Con San Isidro, Santa Isabel, Santiago, RM (Metropolitana)",250.000,,"0,22 UF/m²","0,72 UF/m²",38 m²,38 m²,1,1,50000 CLP,,,,,,,,
1879,Departamento En Arriendo De 1 Dorm. En Ñuñoa,Departamento,,2021-07-02,"Plaza Ñuñoa, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",450.000,,"0,61 UF/m²","0,31 UF/m²",25 m²,25 m²,1,1,,,,,,,,,
