,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Gastos comunes,Estacionamientos,Antigüedad,Ambientes,Bodegas,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Orientación
0,"Metro Moneda. Impecable, Luminoso, Vista Despejada",Departamento,Publicado hace 30 días,2021-07-02,"Nataniel Cox 223 - Departamento 2100 - 2400, Bulnes, Santiago, RM (Metropolitana)",290.000,,"0,29 UF/m²","0,72 UF/m²",34 m²,32 m²,1,1,35000 CLP,,,,,,,,
1,Paseo Estado 115 Con Moneda,Departamento,Publicado hace 30 días,2021-07-02,"Estado 115, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",350.000,,"0,26 UF/m²","0,26 UF/m²",45 m²,45 m²,2,1,55000 CLP,,,,,,,,
2,"Clasico Y Luminoso Departamento, Amplios Espacios,",Departamento,Publicado hace 30 días,2021-07-02,"José Miguel De La Barra 521, Barrio Lastarria, Santiago, RM (Metropolitana)",1.300.000,,"0,27 UF/m²",,160 m²,160 m²,3,2,,2,,,,,,,
3,"Departamento, Cercano Metro Santa Isabel",Departamento,Publicado hace 30 días,2021-07-02,"Santa Isabel 1 - 300, Santa Isabel, Santiago, RM (Metropolitana)",370.000,,"0,25 UF/m²","0,26 UF/m²",50 m²,50 m²,2,2,60000 CLP,,,,,,,,
4,Comodo Dpto Ubicado A 3cuadras Metro Santa Lucia 1d/1b,Departamento,Publicado hace 30 días,2021-07-02,"San Isidro 1 - 300, Santa Isabel, Santiago, RM (Metropolitana)",298.000,,"0,33 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,48000 CLP,,,,,,,,
5,Comodo Dpto Ubicado A 3cuadras Metro Santa Lucia 1d/1b,Departamento,Publicado hace 30 días,2021-07-02,"San Isidro 1 - 300, Santa Isabel, Santiago, RM (Metropolitana)",298.000,,"0,33 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,48000 CLP,,,,,,,,
6,Serrano - Tarapaca,Departamento,Publicado hace 29 días,2021-07-02,"Serrano - Tarapaca, Bulnes, Santiago, RM (Metropolitana)",300.000,,"0,36 UF/m²","0,72 UF/m²",28 m²,28 m²,1,1,,,,,,,,,
7,Cercano Metro Cal Y Canto Y Metro Santa Ana / Mapocho,Departamento,Publicado hace 29 días,2021-07-02,"Mapocho 1500 - 1800, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",200.000,,"0,32 UF/m²","0,72 UF/m²",21 m²,21 m²,1,1,,,,,,,,,
8,Cercano Al Metro Moneda,Departamento,Publicado hace 29 días,2021-07-02,"Lord Cochrane 277, Franklin - Biobío, Santiago, RM (Metropolitana)",330.000,,"0,21 UF/m²","0,26 UF/m²",52 m²,48 m²,2,2,,,,,,,,,
9,Cercano Al Metro Moneda,Departamento,Publicado hace 29 días,2021-07-02,"Lord Cochrane 277, Franklin - Biobío, Santiago, RM (Metropolitana)",330.000,,"0,21 UF/m²","0,26 UF/m²",52 m²,48 m²,2,2,,,,,,,,,
10,Excelente Ubicación,Departamento,Publicado hace 29 días,2021-07-02,"Serrano 266 - Departamento 2507, Bulnes, Santiago, RM (Metropolitana)",280.000,,"0,31 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,,,,,,,,,
11,Lindo Departamento Casco Histórico De Santiago,Departamento,Publicado hace 29 días,2021-07-02,"Morandé 600 - 900, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",280.000,,"0,23 UF/m²","0,72 UF/m²",41 m²,35 m²,1,1,,,,,,,,,
12,"Arriendo Depto De 1 Habitacion Matta 52, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Avenida Manuel Antonio Matta 52 - Departamento 19, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",270.000,,"0,21 UF/m²","0,72 UF/m²",43 m²,40 m²,1,1,45000 CLP,,,,,,,,
13,A 3 Cuadras Metro Estacion  Sta Ana  ,Departamento,Publicado hace 29 días,2021-07-02,"Amunátegui 630, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",250.000,,"0,24 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,,,,,,,,,
14,A 3 Cuadras Metro Estacion  Sta Ana  ,Departamento,Publicado hace 29 días,2021-07-02,"Amunátegui 630, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",250.000,,"0,24 UF/m²","0,72 UF/m²",35 m²,35 m²,1,1,,,,,,,,,
15,Depto Cercano A Parque Y Diversos Comercios,Departamento,Publicado hace 29 días,2021-07-02,"San Isidro 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",260.000,,"0,25 UF/m²","0,72 UF/m²",35 m²,33 m²,1,1,,,,,,,,,
16,Se Arrienda Moderno Loft Amoblado En Calle Huérfanos ,Departamento,Publicado hace 29 días,2021-07-02,"Merced 300 - 600, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",650.000,,"0,42 UF/m²","0,72 UF/m²",52 m²,50 m²,1,1,,,,,,,,,
17,Se Arrienda Moderno Loft Amoblado En Calle Huérfanos ,Departamento,Publicado hace 29 días,2021-07-02,"Merced 300 - 600, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",650.000,,"0,42 UF/m²","0,72 UF/m²",52 m²,50 m²,1,1,,,,,,,,,
18,Se Arrienda Moderno Loft Amoblado En Calle Huérfanos ,Departamento,Publicado hace 29 días,2021-07-02,"Merced 300 - 600, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",650.000,,"0,42 UF/m²","0,72 UF/m²",52 m²,50 m²,1,1,,,,,,,,,
19,Arriendo Depto Amoblado Impecable Calle Argomedo,Departamento,Publicado hace 29 días,2021-07-02,"Argomedo 65 - Departamento 1200 - 1500, Santa Isabel, Santiago, RM (Metropolitana)",300.000,,"0,24 UF/m²","0,72 UF/m²",42 m²,42 m²,1,1,40000 CLP,,,,,,,,
20,Departamento Impecable En Ricardo Cumming ,Departamento,Publicado hace 29 días,2021-07-02,"Ricardo Cumming 1200 - 1500, Franklin - Biobío, Santiago, RM (Metropolitana)",280.000,,"0,22 UF/m²","0,72 UF/m²",42 m²,42 m²,1,1,35000 CLP,,,,,,,,
21,Arrienda Departamento De 2 Dormitorios En Calle Huérfanos ,Departamento,Publicado hace 29 días,2021-07-02,"Merced 300 - 600, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",650.000,,"0,55 UF/m²","0,26 UF/m²",40 m²,40 m²,2,1,,,,,,,,,
22,Amplio Y Central  Departamento!,Departamento,Publicado hace 29 días,2021-07-02,"Tarapacá 600 - 900, Bulnes, Santiago, RM (Metropolitana)",430.000,,"0,19 UF/m²","0,21 UF/m²",78 m²,75 m²,3,2,75000 CLP,,,,,,,,
23,Cómodo Departamento Argomedo- Raulí,Departamento,Publicado hace 29 días,2021-07-02,"Raulí 596, Santa Isabel, Santiago, RM (Metropolitana)",250.000,,"0,23 UF/m²","0,72 UF/m²",36 m²,31 m²,1,1,47000 CLP,,,,,,,,
24,Departamento Remodelado Incluye Gastos Comunes Y Agua,Departamento,Publicado hace 29 días,2021-07-02,"Santo Domingo 664 1103-b, Santa Isabel, Santiago, RM (Metropolitana)",310.000,,"0,26 UF/m²","0,72 UF/m²",40 m²,40 m²,1,1,,,,,,,,,
25,Departamento Remodelado Incluye Gastos Comunes Y Agua,Departamento,Publicado hace 29 días,2021-07-02,"Santo Domingo 664 1103-b, Santa Isabel, Santiago, RM (Metropolitana)",310.000,,"0,26 UF/m²","0,72 UF/m²",40 m²,40 m²,1,1,,,,,,,,,
26,"Maule 150 - Departamento 1d1b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Maule 150 - Departamento 1d1b, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",294.000,,"0,33 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,56000 CLP,,,,,,,,
27,"Morandé 924 - Departamento 1d1b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Morandé 924 - Departamento 1d1b, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",303.000,,,,34 m²,34 m²,1,1,62000 CLP,,,,,,,,
28,Curico / Parque Bustamante / Santa Isabel / Stgo Centro,Departamento,Publicado hace 29 días,2021-07-02,"Curicó 1 - 300, Santa Isabel, Santiago, RM (Metropolitana)",270.000,,"0,28 UF/m²","0,72 UF/m²",33 m²,30 m²,1,1,,,,,,,,,
29,"Santa Isabel 55 - Departamento 1d1b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Santa Isabel 55 - Departamento 1d1b, Santa Isabel, Santiago, RM (Metropolitana)",292.000,,"0,36 UF/m²","0,72 UF/m²",27 m²,27 m²,1,1,56000 CLP,,,,,,,,
30,"Sara Del Campo 535 - Departamento 1d1b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Sara Del Campo 535 - Departamento 1d1b, Santa Isabel, Santiago, RM (Metropolitana)",285.000,,"0,29 UF/m²","0,72 UF/m²",33.12 m²,31 m²,1,1,65000 CLP,,,,,,,,
31,"Santa Rosa 237 - Departamento 2d2b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Santa Rosa 237 - Departamento 2d2b, Bulnes, Santiago, RM (Metropolitana)",358.000,,"0,27 UF/m²","0,26 UF/m²",44 m²,44 m²,2,2,74000 CLP,,,,,,,,
32,"Sara Del Campo 535 - Departamento 2d2b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Sara Del Campo 535 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",379.000,,"0,28 UF/m²","0,26 UF/m²",45.14 m²,42.71 m²,2,2,83000 CLP,,,,,,,,
33,"Carmen 368 - Departamento 2d2b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Carmen 368 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",431.000,,"0,25 UF/m²","0,84 UF/m²",58 m²,58 m²,2,2,92000 CLP,,,,,,,,
34,"Santa Isabel 55 - Departamento 2d2b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Santa Isabel 55 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",388.000,,"0,31 UF/m²","0,26 UF/m²",42 m²,42 m²,2,2,80000 CLP,,,,,,,,
35,Departamento Próximo Metro Republica,Departamento,Publicado hace 29 días,2021-07-02,"Avenida Manuel Rodríguez 75, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",250.000,,"0,28 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,40000 CLP,,,,,,,,
36,"Santa Rosa 237 - Departamento 2d2b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Santa Rosa 237 - Departamento 2d2b, Bulnes, Santiago, RM (Metropolitana)",375.000,,"0,27 UF/m²","0,26 UF/m²",46 m²,44 m²,2,2,74000 CLP,,,,,,,,
37,"Sara Del Campo 535 - Departamento 2d2b, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"Sara Del Campo 535 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",392.000,,"0,26 UF/m²","0,84 UF/m²",51 m²,51 m²,2,2,86000 CLP,,,,,,,,
38,Oferta! Dpto 3 Dormitorios / Metro Santa Ana,Departamento,Publicado hace 29 días,2021-07-02,"Catedral 1200 - 1500, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",365.000,,"0,17 UF/m²","0,21 UF/m²",71 m²,66 m²,3,2,80000 CLP,,,,,,,,
39,Se Arrienda Pequeño Departamento En Violler 72,Departamento,Publicado hace 29 días,2021-07-02,"Viollier 72, Santa Isabel, Santiago, RM (Metropolitana)",170.000,,"0,38 UF/m²",,15 m²,15 m²,1,1,,,,,,,,,
40,"Excelente Departamento, Ubicado  Esquina De Calle Moneda ",Departamento,Publicado hace 29 días,2021-07-02,"Tucapel Jiménez 136 - Departamento 1815, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",380.000,,"0,25 UF/m²","0,26 UF/m²",51 m²,47 m²,2,2,50000 CLP,,,,,,,,
41,"Excelente Departamento, Ubicado  Esquina De Calle Moneda ",Departamento,Publicado hace 29 días,2021-07-02,"Moneda 1617 - Departamento 1800 - 2100, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",380.000,,"0,23 UF/m²","0,84 UF/m²",56 m²,54 m²,2,2,50000 CLP,,,,,,,,
42,Con Estacionamiento Y Balcon,Departamento,Publicado hace 29 días,2021-07-02,"Carmen, Con Estacionamiento 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",440.000,,"0,26 UF/m²","0,84 UF/m²",57 m²,55 m²,2,2,90000 CLP,1,,,,,,,
43,"Departamento A Estrenar En Argomedo, Santiago Centro",Departamento,Publicado hace 29 días,2021-07-02,"Argomedo 344 - Departamento 600 - 900, Santa Isabel, Santiago, RM (Metropolitana)",335.000,,"0,3 UF/m²","0,72 UF/m²",37.23 m²,33.86 m²,1,1,38000 CLP,,,,,,,,
44,Diagonal Vicuña Mackenna / Metro Ñuble,Departamento,Publicado hace 29 días,2021-07-02,"Diagonal Vicuña Mackenna 2004 - Departamento 1410b, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",350.000,,"0,21 UF/m²","0,26 UF/m²",55 m²,50 m²,2,2,80000 CLP,1,,,,,,,
45,"Departamento Sin Amoblar, Santiago",Departamento,Publicado hace 29 días,2021-07-02,"San Martín 600 - 900, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",280.000,,"0,24 UF/m²","0,72 UF/m²",40 m²,36 m²,1,1,,,,,,,,,
46,Portugal Con Diagonal Paraguay,Departamento,Publicado hace 29 días,2021-07-02,"Portugal 1 - 300, Franklin - Biobío, Santiago, RM (Metropolitana)",375.000,,"0,3 UF/m²","0,26 UF/m²",42 m²,42 m²,2,1,,1,,,,,,,
47,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
48,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
49,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
50,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
51,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
52,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
53,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
54,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
55,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
56,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
57,"Marin/lira 2 Dormitorios, 2 Baños, Oriente",Departamento,Publicado hace 29 días,2021-07-02,"Marín 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,26 UF/m²",48.5 m²,47 m²,2,2,60000 CLP,,,,,,,,
58,Hermoso Depto Luminoso  A Una Cuadra Metro Santa Lucia,Departamento,Publicado hace 28 días,2021-07-02,"Marcoleta 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",400.000,,"0,23 UF/m²","0,22 UF/m²",58 m²,56 m²,2,1,,,,,,,,,
59,"Metro Pza Armas, Santo Domingo / Bandera",Departamento,Publicado hace 28 días,2021-07-02,"Santo Domingo 900 - 1200, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",360.000,,"0,2 UF/m²","0,21 UF/m²",62 m²,62 m²,2,1,,,,,,,,,
60,Santa Isabel Con Carmen ,Departamento,Publicado hace 28 días,2021-07-02,"Santa Isabel 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",280.000,,"0,24 UF/m²","0,72 UF/m²",40 m²,40 m²,1,1,,,,,,,,,
61," Depto, Excelente Conectividad Entre Dos Estaciones De Metro",Departamento,Publicado hace 28 días,2021-07-02,"Curicó 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",370.000,,"0,19 UF/m²","0,21 UF/m²",66 m²,66 m²,2,2,,,,,,,,,
62,"Maule 150 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Maule 150 - Departamento 1d1b, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",294.000,,"0,33 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,56000 CLP,,,,,,,,
63,"Maule 150 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Maule 150 - Departamento 1d1b, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",294.000,,"0,33 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,56000 CLP,,,,,,,,
64,"Morandé 924 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Morandé 924 - Departamento 1d1b, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",303.000,,"0,3 UF/m²","0,72 UF/m²",34 m²,34 m²,1,1,62000 CLP,,,,,,,,
65,"Morandé 924 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Morandé 924 - Departamento 1d1b, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",303.000,,"0,3 UF/m²","0,72 UF/m²",34 m²,34 m²,1,1,62000 CLP,,,,,,,,
66,"Santa Isabel 55 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Isabel 55 - Departamento 1d1b, Santa Isabel, Santiago, RM (Metropolitana)",292.000,,"0,36 UF/m²","0,72 UF/m²",27 m²,27 m²,1,1,56000 CLP,,,,,,,,
67,"Santa Isabel 55 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Isabel 55 - Departamento 1d1b, Santa Isabel, Santiago, RM (Metropolitana)",292.000,,"0,36 UF/m²","0,72 UF/m²",27 m²,27 m²,1,1,56000 CLP,,,,,,,,
68,"Sara Del Campo 535 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Sara Del Campo 535 - Departamento 1d1b, Santa Isabel, Santiago, RM (Metropolitana)",285.000,,"0,29 UF/m²","0,72 UF/m²",33.12 m²,31 m²,1,1,65000 CLP,,,,,,,,
69,"Sara Del Campo 535 - Departamento 1d1b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Sara Del Campo 535 - Departamento 1d1b, Santa Isabel, Santiago, RM (Metropolitana)",285.000,,"0,29 UF/m²","0,72 UF/m²",33.12 m²,31 m²,1,1,65000 CLP,,,,,,,,
70,"Santa Rosa 237 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Rosa 237 - Departamento 2d2b, Bulnes, Santiago, RM (Metropolitana)",358.000,,"0,27 UF/m²","0,26 UF/m²",44 m²,44 m²,2,2,74000 CLP,,,,,,,,
71,"Santa Rosa 237 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Rosa 237 - Departamento 2d2b, Bulnes, Santiago, RM (Metropolitana)",358.000,,"0,27 UF/m²","0,26 UF/m²",44 m²,44 m²,2,2,74000 CLP,,,,,,,,
72,"Sara Del Campo 535 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Sara Del Campo 535 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",379.000,,"0,28 UF/m²","0,26 UF/m²",45.14 m²,42.71 m²,2,2,83000 CLP,,,,,,,,
73,"Sara Del Campo 535 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Sara Del Campo 535 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",379.000,,"0,28 UF/m²","0,26 UF/m²",45.14 m²,42.71 m²,2,2,83000 CLP,,,,,,,,
74,"Carmen 368 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Carmen 368 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",431.000,,"0,25 UF/m²","0,84 UF/m²",58 m²,58 m²,2,2,92000 CLP,,,,,,,,
75,"Carmen 368 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Carmen 368 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",431.000,,"0,25 UF/m²","0,84 UF/m²",58 m²,58 m²,2,2,92000 CLP,,,,,,,,
76,"Santa Isabel 55 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Isabel 55 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",388.000,,"0,31 UF/m²","0,26 UF/m²",42 m²,42 m²,2,2,80000 CLP,,,,,,,,
77,"Santa Isabel 55 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Isabel 55 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",388.000,,"0,31 UF/m²","0,26 UF/m²",42 m²,42 m²,2,2,80000 CLP,,,,,,,,
78,"Santa Rosa 237 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Rosa 237 - Departamento 2d2b, Bulnes, Santiago, RM (Metropolitana)",375.000,,"0,27 UF/m²","0,26 UF/m²",46 m²,44 m²,2,2,74000 CLP,,,,,,,,
79,"Santa Rosa 237 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Santa Rosa 237 - Departamento 2d2b, Bulnes, Santiago, RM (Metropolitana)",375.000,,"0,27 UF/m²","0,26 UF/m²",46 m²,44 m²,2,2,74000 CLP,,,,,,,,
80,"Sara Del Campo 535 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Sara Del Campo 535 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",392.000,,"0,26 UF/m²","0,84 UF/m²",51 m²,51 m²,2,2,86000 CLP,,,,,,,,
81,"Sara Del Campo 535 - Departamento 2d2b, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Sara Del Campo 535 - Departamento 2d2b, Santa Isabel, Santiago, RM (Metropolitana)",392.000,,"0,26 UF/m²","0,84 UF/m²",51 m²,51 m²,2,2,86000 CLP,,,,,,,,
82,A Pasos Metro Unión Latinoamericana,Departamento,Publicado hace 28 días,2021-07-02,"Avenida España 1 - 300, Barrio República, Santiago, RM (Metropolitana)",250.000,,"0,25 UF/m²","0,72 UF/m²",33.08 m²,30 m²,1,1,,,,,,,,,
83,Metro Santa Ana,Departamento,Publicado hace 28 días,2021-07-02,"Agustinas 1500 - 1800, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",250.000,,"0,26 UF/m²","0,72 UF/m²",32 m²,30 m²,1,1,40000 CLP,,,,,,,,
84,Depto Full Amoblado 1d Metro U De Chile,Departamento,Publicado hace 28 días,2021-07-02,"San Diego 1 - 300, Bulnes, Santiago, RM (Metropolitana)",330.000,,"0,28 UF/m²","0,72 UF/m²",40 m²,35 m²,1,1,30000 CLP,,,,,,,,
85,"Se Arrienda Departamento Amoblado Catedral, Santiago",Departamento,Publicado hace 28 días,2021-07-02,"Catedral 1200 - 1500, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",320.000,,"0,33 UF/m²","0,72 UF/m²",33 m²,32 m²,1,1,,,,,,,,,
86,Inmediato Lira - Curico,Departamento,Publicado hace 28 días,2021-07-02,"Angamos 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",270.000,,"0,2 UF/m²","0,72 UF/m²",45 m²,40 m²,1,1,,,,,,,,,
87,"Acogedor, 1 Dormitorio En Suite. Excelente Ubicación",Departamento,Publicado hace 28 días,2021-07-02,"Santo Domingo 1200 - 1500, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",260.000,,"0,33 UF/m²","0,72 UF/m²",26.7 m²,26.7 m²,1,1,,,,,,,,,
88,"Hermoso Depto, Excelente Conectividad ",Departamento,Publicado hace 28 días,2021-07-02,"Curicó 394, Santa Isabel, Santiago, RM (Metropolitana)",290.000,,"0,26 UF/m²","0,72 UF/m²",38 m²,35 m²,1,1,,,,,,,,,
89,Dpto 2d 2b Cercano Al Metro Santa Isabel,Departamento,Publicado hace 28 días,2021-07-02,"Santa Isabel 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",380.000,,"0,22 UF/m²","0,84 UF/m²",58 m²,58 m²,2,2,80000 CLP,1,,,,,,,
90,Departamento Cerca Metro  Santa Lucia Sta.  Victoria- Carmen,Departamento,Publicado hace 28 días,2021-07-02,"Santa Victoria 300 - 600, Santa Isabel, Santiago, RM (Metropolitana)",240.000,,"0,27 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,50000 CLP,,,,,,,,
91,Teatro Teletón / San Pablo,Departamento,Publicado hace 28 días,2021-07-02,"San Pablo (myp) 1500 - 1800, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",240.000,,"0,27 UF/m²","0,72 UF/m²",30 m²,30 m²,1,1,45000 CLP,,,,,,,,
92,Excelente Y Central  Departamento!,Departamento,Publicado hace 28 días,2021-07-02,"Tarapacá 600 - 900, Bulnes, Santiago, RM (Metropolitana)",460.000,,"0,2 UF/m²","0,21 UF/m²",78 m²,75 m²,3,2,75000 CLP,,,,,,,,
93,Metro Merced / 2 Dormitorios Amoblado,Departamento,Publicado hace 28 días,2021-07-02,"Merced 562, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",360.000,,"0,27 UF/m²","0,26 UF/m²",45 m²,45 m²,2,1,,,,,,,,,
94,Arriendo  Luminoso Departamento,Departamento,Publicado hace 27 días,2021-07-02,"Rosas 1339 - Departamento 603, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",300.000,,"0,27 UF/m²","0,72 UF/m²",38 m²,35 m²,1,1,,,,,,,,,
