,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
1450,Código: 36714,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,AV. ESPAÑA/ALAMEDA,$ 260.000,"UF 8,8",1,1,,34 m²,,,13-01-2021,2020 1ºSem,51,-33.4505,-70.6701
1451,Código: 202006360,Departamento,Departamento en Arriendo Macul - Metropolitana Ver ubicación,A pasos del Supermercado Lider,$ 460.000,"UF 15,58",2,2,,1 m²,1 m²,,24-06-2021,2020 1ºSem,48,-33.4762,-70.5991
1452,Código: 24369,Departamento,Departamento en Arriendo Ñuñoa - Metropolitana Ver ubicación,Av Jose Pedro Alessandri/Los Alerces,$ 345.000,"UF 11,68",1,1,,40 m²,,,05-06-2021,2020 1ºSem,69,-33.4714,-70.5988
1453,Código: 1028018194-165,Departamento,Departamento en Arriendo Macul - Metropolitana Ver ubicación,Los Espinos 3365,$ 450.000,"UF 15,24",2,2,,76 m²,76 m²,,24-06-2021,2020 1ºSem,48,-33.4769,-70.5979
1454,Código: 202020144,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Santiago,$ 550.000,"UF 18,63",,,,101 m²,101 m²,,18-04-2021,2020 1ºSem,36,-33.4421,-70.6767
1455,Código: 202036110,Departamento,Departamento en Arriendo Santiago - Metropolitana Ver ubicación,Maipú / Huérfanos,$ 650.000,"UF 22,01",1,1,,"107,9 m²","126,6 m²",,29-05-2020,2020 1ºSem,36,-33.4423,-70.6767
1456,Código: 1028050084-43,Departamento,Departamento en Arriendo Macul - Metropolitana Ver ubicación,Av. Vicuña Mackenna,$ 420.000,"UF 14,22",2,2,,53 m²,53 m²,,06-06-2021,,,-33.4927,-70.6164
1457,Código: 202375452,Departamento,Departamento en Arriendo Macul - Metropolitana Ver ubicación,Metro Escuela Agrícola,$ 275.000,"UF 9,31",1,1,,30 m²,30 m²,47.759.773,18-04-2021,2020 1ºSem,51,-33.4906,-70.6156
1458,Código: 1028050084-44,Departamento,Departamento en Arriendo Macul - Metropolitana Ver ubicación,Av. Vicuña Mackenna,$ 420.000,"UF 14,22",2,2,,53 m²,53 m²,,06-06-2021,,,-33.4927,-70.6164
1459,Código: 28844,Departamento,Departamento en Arriendo Macul - Metropolitana Ver ubicación,Avenida Escuela Agricola,$ 330.000,"UF 11,18",1,1,,56 m²,56 m²,,19-06-2021,2020 1ºSem,51,-33.4906,-70.6156
1460,Código: 201006894,Casa,Casa en Arriendo Colina - Metropolitana Ver ubicación,Las Brisas de Chicureo,$ 5.000.000,"UF 169,32",5,5,5.000 m²,640 m²,,,01-04-2020,,,-33.203,-70.6722
1461,,,,,,"UF 169,32",,,3.083 m²,,,585.420.110,13-09-2020,,80,-33.4016,-70.5199
1462,,,,Camino Otoñal / Colegio Redland,UF 175,$ 5.167.659,5,,3.600 m²,475 m²,,585.420.110,23-09-2020,,80,-33.402,-70.5195
1463,Código: 27935,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,geronimo de alderete,$ 700.000,"UF 23,71",2,2,,70 m²,70 m²,,27-05-2021,2020 1ºSem,93,-33.3954,-70.5615
1464,Código: 202003973,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,GERONIMO DE ALDERETE,UF 57,$ 1.683.180,4,3,,180 m²,200 m²,,18-10-2019,,,-33.3962,-70.5662
1465,Código: EB-EE8459,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,Alto Las Condes.,UF 150,$ 4.429.422,3,3,,380 m²,,,13-12-2019,2020 1ºSem,93,-33.3962,-70.5618
1466,Código: 202005621,Departamento,Departamento en Arriendo Las Condes - Metropolitana Ver ubicación,COLEGIO ALEMAN - PLAZA BRASILIA - RIESCO,$ 1.500.000,"UF 50,8",3,3,,140 m²,180 m²,,04-01-2021,2020 1ºSem,93,-33.3975,-70.5661
