,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
0,San Martín 220,Departamento,Publicado hace 9 meses,2021-07-01,"San Martín 220, Centro de Buin, Buin, RM (Metropolitana)",480.000,,,,74 m²,70 m²,3,2,1,,,,,,,
1,"Sin Dirección, Buin",Departamento,Publicado hace 27 días,2021-07-01,"Centro de Buin, Buin, RM (Metropolitana)",500.000,,,,80 m²,80 m²,2,2,,,,,,,,
2,Arriendo Departamento Nuevo!!,Departamento,Publicado hace 9 días,2021-07-01,"Los Libertadores 7902, Plaza Oeste, Cerrillos, RM (Metropolitana)",400.000,,,,70 m²,70 m²,3,2,1,60000 CLP,,,,,,
3,Excelentes Departamentos Nuevos Próximos  Hospítal,Departamento,Publicado hace 5 meses,2021-07-01,"Luis Lazzarini (próximo Calle Huelén)) 7469 - Departamento 2-3-4 Y 5, Cerro Navia, RM (Metropolitana)",300.000,,,,42 m²,40 m²,2,1,,,,,,,,
4,San Marcos 449,Departamento,Publicado hace 6 meses,2021-07-01,"San Marcos 449, Centro de Colina, Colina, RM (Metropolitana)",280.000,,,,45 m²,45 m²,2,1,,,,,,,,
5,"Espectacular Departamento, Piedra Roja Chicureo,excelent...",Departamento,Publicado hace 5 meses,2021-07-01,"Espectacular Departamento, Piedra Roja Chicureo,excelente Vista Y Seguridad, Chicureo, Colina, RM (Metropolitana)",85,2.525.588,,,245 m²,245 m²,4,5,3,500000 CLP,,,,,,
6,Departamento En Hacienda De Chicureo Club De Golf,Departamento,Publicado hace 16 días,2021-07-01,"Cerro Colorado 13800 - 14100, Chicureo, Colina, RM (Metropolitana)",80,2.377.024,,,270 m²,234 m²,4,4,3,550000 CLP,,,,,,
7,Departamento En Hacienda De Chicureo,Departamento,Publicado hace 7 días,2021-07-01,"Cerro Colorado 422, Chicureo, Colina, RM (Metropolitana)",80,2.377.024,,,275 m²,235 m²,4,5,3,,,,,,,
8,Departamento Hacienda De Chicureo,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Padre Sergio Correa 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.500.000,,,,275 m²,275 m²,4,4,3,,,,,,,
9,Avenida Fermín Vivaceta 3750,Departamento,Publicado hace 6 meses,2021-07-01,"Avenida Fermín Vivaceta 3750, Estación Conchalí, Conchalí, RM (Metropolitana)",350.000,,"0,26 UF/m²",,44.69 m²,40.57 m²,2,1,,47000 CLP,,,,,,
10,Se Arrienda Departamento En Independencia,Departamento,Publicado hace 52 días,2021-07-01,"Avenida Independencia 4599, Vivaceta, Conchalí, RM (Metropolitana)",530.000,,"0,23 UF/m²",,78 m²,70 m²,3,2,1,,,,,,,
11,Depto Duplex Cerca Metro Conchali,Departamento,Publicado hace 22 días,2021-07-01,"San Fernando 1200 - 1500, General Gambino, Conchalí, RM (Metropolitana)",340.000,,"0,29 UF/m²",,40 m²,40 m²,2,1,,35000 CLP,,,,,,
12,Duplex Dos Dormitorios ,Departamento,Publicado hace 17 días,2021-07-01,"San Fernando 1200 - 1500, General Gambino, Conchalí, RM (Metropolitana)",340.000,,"0,29 UF/m²",,40 m²,40 m²,2,1,1,,,,,,,
13,"Se Arrienda Departamento 1d/1b, Fermin Vivaceta, Conchali",Departamento,Publicado hace 9 días,2021-07-01,"Avenida Fermín Vivaceta 3750, Estación Conchalí, Conchalí, RM (Metropolitana)",280.000,,"0,25 UF/m²",,37 m²,37 m²,1,1,,40000 CLP,,,,,,
14,Avenida Lo Espejo 310,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Lo Espejo 310, Alejandro Guzmán, El Bosque, RM (Metropolitana)",345.000,,"0,26 UF/m²",,45 m²,45 m²,2,1,1,,,,,,,
15,En Condominio Open Plaza El Bosque,Departamento,Publicado hace 13 días,2021-07-01,"General Körner 81 - Departamento J22, Alejandro Guzmán, El Bosque, RM (Metropolitana)",370.000,,"0,25 UF/m²",,49 m²,47 m²,3,1,1,,,,,,,
16,"Acogedor Depto. En General Korner, El Bosque",Departamento,Publicado hace 10 días,2021-07-01,"General Korner 1 - 300, Alejandro Guzmán, El Bosque, RM (Metropolitana)",370.000,,"0,26 UF/m²",,47 m²,47 m²,3,1,1,35000 CLP,,,,,,
17,Arriendo Lindo Depto En Condominio,Departamento,Publicado hace 9 días,2021-07-01,"José Joaquín Prieto Vial 10800 - 11100, El Bosque, RM (Metropolitana)",330.000,,"0,23 UF/m²",,48 m²,48 m²,3,2,1,13000 CLP,,,,,,
18,Placilla 149,Departamento,Publicado hace 2 años,2021-07-01,"Placilla 149, San Alberto Hurtado, Estación Central, RM (Metropolitana)",330.000,,"0,26 UF/m²","0,25 UF/m²",43 m²,35 m²,2,1,,1 CLP,,,,,,
19,Placilla 149,Departamento,Publicado hace 2 años,2021-07-01,"Placilla 149, San Alberto Hurtado, Estación Central, RM (Metropolitana)",280.000,,"0,25 UF/m²","0,26 UF/m²",38 m²,35 m²,1,1,,2 CLP,,,,,,
20,María Rozas Velásquez 52,Departamento,Publicado hace 1 año,2021-07-01,"María Rozas Velásquez 52, Metro Lo Prado, Lo Prado, RM (Metropolitana)",280.000,,"0,26 UF/m²",,36 m²,36 m²,1,1,,,,,,,,
21,Matucana 8,Departamento,Publicado hace 1 año,2021-07-01,"Matucana 8, Universidad de Santiago, Estación Central, RM (Metropolitana)",430.000,,"0,18 UF/m²","0,2 UF/m²",80 m²,80 m²,3,2,,,,,,,,
22,Metro Alberto Hurtado,Departamento,Publicado hace 1 año,2021-07-01,"Metro Alberto Hurtado, San Alberto Hurtado, Estación Central, RM (Metropolitana)",240.000,,"0,27 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,35000 CLP,,,,,,
23,Conde Del Maule 4642,Departamento,Publicado hace 1 año,2021-07-01,"Conde Del Maule 4642, Metro Ecuador, Estación Central, RM (Metropolitana)",250.000,,"0,25 UF/m²","0,26 UF/m²",33 m²,30 m²,1,1,,33000 CLP,,,,,,
24,Avenida Padre Alberto Hurtado 194,Departamento,Publicado hace 1 año,2021-07-01,"Avenida Padre Alberto Hurtado 194, Universidad de Santiago, Estación Central, RM (Metropolitana)",12,356.554,"0,3 UF/m²","0,25 UF/m²",40 m²,40 m²,2,1,,,,,,,,
25,Conde Del Maule 4364,Departamento,Publicado hace 1 año,2021-07-01,"Conde Del Maule 4364, San Alberto Hurtado, Estación Central, RM (Metropolitana)",200.000,,"0,34 UF/m²","0,26 UF/m²",20 m²,20 m²,1,1,,,,,,,,
26,Metro Ecuador,Departamento,Publicado hace 1 año,2021-07-01,"Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",250.000,,"0,29 UF/m²","0,26 UF/m²",28.8 m²,28.8 m²,1,1,,,,,,,,
27,Coronel Souper 4060 - Departamento 2211,Departamento,Publicado hace 1 año,2021-07-01,"Coronel Souper 4060 - Departamento 2211, San Alberto Hurtado, Estación Central, RM (Metropolitana)",190.000,,"0,26 UF/m²","0,26 UF/m²",25 m²,25 m²,1,1,,,,,,,,
28,Las Torres 0285,Departamento,Publicado hace 1 año,2021-07-01,"Las Torres 0285, Estación Central, RM (Metropolitana)",420.000,,"0,24 UF/m²","0,22 UF/m²",60 m²,52 m²,2,2,1,48000 CLP,,,,,,
29,"Arriendo Depto. Nuevo, Edificio Las Rejas Plaza, Metro L...",Departamento,Publicado hace 11 meses,2021-07-01,"Arriendo Depto. Nuevo, Edificio Las Rejas Plaza, Metro Las Rejas, Metro Las Rejas, Estación Central, RM (Metropolitana)",260.000,,"0,27 UF/m²","0,26 UF/m²",33 m²,33 m²,1,1,,35000 CLP,,,,,,
30,Coronel Souper 4060,Departamento,Publicado hace 1 año,2021-07-01,"Coronel Souper 4060, San Alberto Hurtado, Estación Central, RM (Metropolitana)",230.000,,"0,23 UF/m²","0,26 UF/m²",33 m²,33 m²,1,1,,,,,,,,
31,Conde Del Maule 4642,Departamento,Publicado hace 1 año,2021-07-01,"Conde Del Maule 4642, Metro Ecuador, Estación Central, RM (Metropolitana)",240.000,,"0,37 UF/m²","0,26 UF/m²",22 m²,21 m²,1,1,,,,,,,,
32,Federico Scotto 110,Departamento,Publicado hace 1 año,2021-07-01,"Federico Scotto 110, Universidad de Santiago, Estación Central, RM (Metropolitana)",256.000,,"0,25 UF/m²","0,26 UF/m²",35 m²,32 m²,1,1,,35000 CLP,,,,,,
33,Avenida Libertador Bernardo O'higgins 4877,Departamento,Publicado hace 1 año,2021-07-01,"Avenida Libertador Bernardo O'higgins 4877, Metro Ecuador, Estación Central, RM (Metropolitana)",216.000,,"0,19 UF/m²","0,26 UF/m²",38 m²,35 m²,1,1,,40000 CLP,,,,,,
34,Metro Ecuador,Departamento,Publicado hace 1 año,2021-07-01,"Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",260.000,,"0,19 UF/m²","0,26 UF/m²",45 m²,42 m²,1,1,,55000 CLP,,,,,,
35,Embajador Quintana 4334,Departamento,Publicado hace 1 año,2021-07-01,"Embajador Quintana 4334, San Alberto Hurtado, Estación Central, RM (Metropolitana)",184.000,,"0,22 UF/m²","0,26 UF/m²",28 m²,28 m²,1,1,,35000 CLP,,,,,,
36,Embajador Quintana N° 4334 - Piso 1 - 300,Departamento,Publicado hace 1 año,2021-07-01,"Embajador Quintana N° 4334 - Piso 1 - 300, San Alberto Hurtado, Estación Central, RM (Metropolitana)",210.000,,"0,23 UF/m²","0,26 UF/m²",31.41 m²,29.35 m²,1,1,,,,,,,,
37,Federico Scotto 120,Departamento,Publicado hace 1 año,2021-07-01,"Federico Scotto 120, Universidad de Santiago, Estación Central, RM (Metropolitana)",288.000,,"0,23 UF/m²","0,25 UF/m²",43 m²,41 m²,2,1,1,,,,,,,
38,Embajador Quintana 4334,Departamento,Publicado hace 1 año,2021-07-01,"Embajador Quintana 4334, San Alberto Hurtado, Estación Central, RM (Metropolitana)",189.000,,"0,23 UF/m²","0,26 UF/m²",28 m²,28 m²,1,1,1,40000 CLP,,,,,,
39,Avenida Libertador Bernardo O'higgins 4877,Departamento,Publicado hace 1 año,2021-07-01,"Avenida Libertador Bernardo O'higgins 4877, Metro Ecuador, Estación Central, RM (Metropolitana)",184.000,,"0,19 UF/m²","0,26 UF/m²",33 m²,33 m²,1,1,,40000 CLP,,,,,,
40,"2 Amplios Dorm, 2 Baños Conde Del Maule 4470",Departamento,Publicado hace 11 meses,2021-07-01,"2 Amplios Dorm, 2 Baños Conde Del Maule 4470, San Alberto Hurtado, Estación Central, RM (Metropolitana)",400.000,,"0,27 UF/m²","0,24 UF/m²",49 m²,49 m²,2,2,,,,,,,,
41,Avenida Ecuador 4578 - Departamento 1503,Departamento,Publicado hace 10 meses,2021-07-01,"Avenida Ecuador 4578 - Departamento 1503, Metro Ecuador, Estación Central, RM (Metropolitana)",350.000,,"0,18 UF/m²",,64 m²,55 m²,2,2,,55000 CLP,3 años,,,,,
42,Avenida Obispo Manuel Umaña 33,Departamento,Publicado hace 10 meses,2021-07-01,"Avenida Obispo Manuel Umaña 33, Universidad de Santiago, Estación Central, RM (Metropolitana)",12,380.324,"0,24 UF/m²","0,24 UF/m²",53 m²,50 m²,2,2,,,,,,,,
43,Toro Mazotte,Departamento,Publicado hace 10 meses,2021-07-01,"Toro Mazotte, San Alberto Hurtado, Estación Central, RM (Metropolitana)",255.000,,"0,29 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,,,,,,,
44,San Gumercindo,Departamento,Publicado hace 10 meses,2021-07-01,"San Gumercindo, San Alberto Hurtado, Estación Central, RM (Metropolitana)",290.000,,"0,23 UF/m²","0,25 UF/m²",42 m²,42 m²,2,1,,,,,,,,
45,Federico Scotto 120,Departamento,Publicado hace 10 meses,2021-07-01,"Federico Scotto 120, Universidad de Santiago, Estación Central, RM (Metropolitana)",264.000,,"0,21 UF/m²","0,25 UF/m²",43 m²,41 m²,2,1,,,,,,,,
46,Concon 165,Departamento,Publicado hace 10 meses,2021-07-01,"Concon 165, Metro Ecuador, Estación Central, RM (Metropolitana)",200.000,,"0,22 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,,,,,,,
47,Conde Del Maule 4491,Departamento,Publicado hace 10 meses,2021-07-01,"Conde Del Maule 4491, San Alberto Hurtado, Estación Central, RM (Metropolitana)",12,356.554,"0,21 UF/m²","0,25 UF/m²",56 m²,50 m²,2,1,,,,,,,,
48,Arriendo Departamento Estación Central Pezoa Véliz 0143,Departamento,Publicado hace 10 meses,2021-07-01,"Carlos Pezoa Veliz 0143, Metro Ecuador, Estación Central, RM (Metropolitana)",340.000,,"0,25 UF/m²","0,25 UF/m²",45 m²,45 m²,2,1,,,,,,,,
49,Blanco Garcés 154,Departamento,Publicado hace 9 meses,2021-07-01,"Blanco Garcés 154, San Alberto Hurtado, Estación Central, RM (Metropolitana)",210.000,,"0,24 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,30000 CLP,,,,,,
50,Avenida Libertador Bernardo O'higgins 4877,Departamento,Publicado hace 9 meses,2021-07-01,"Avenida Libertador Bernardo O'higgins 4877, Metro Ecuador, Estación Central, RM (Metropolitana)",256.000,,"0,23 UF/m²","0,26 UF/m²",38 m²,35 m²,1,1,,40000 CLP,,,,,,
51,Federico Scotto 120,Departamento,Publicado hace 9 meses,2021-07-01,"Federico Scotto 120, Universidad de Santiago, Estación Central, RM (Metropolitana)",256.000,,"0,2 UF/m²","0,25 UF/m²",43 m²,41 m²,2,1,,,,,,,,
52,Federico Scotto 110,Departamento,Publicado hace 9 meses,2021-07-01,"Federico Scotto 110, Universidad de Santiago, Estación Central, RM (Metropolitana)",224.000,,"0,22 UF/m²","0,26 UF/m²",35 m²,32 m²,1,1,,35000 CLP,,,,,,
53,Embajador Quintana 4334,Departamento,Publicado hace 9 meses,2021-07-01,"Embajador Quintana 4334, San Alberto Hurtado, Estación Central, RM (Metropolitana)",216.000,,"0,21 UF/m²","0,26 UF/m²",34 m²,32 m²,1,1,,40000 CLP,,,,,,
54,Avenida Libertador Bernardo O'higgins 4877,Departamento,Publicado hace 9 meses,2021-07-01,"Avenida Libertador Bernardo O'higgins 4877, Metro Ecuador, Estación Central, RM (Metropolitana)",184.000,,"0,19 UF/m²","0,26 UF/m²",33 m²,33 m²,1,1,,40000 CLP,,,,,,
55,Radal 66,Departamento,Publicado hace 9 meses,2021-07-01,"Radal 66, Metro Ecuador, Estación Central, RM (Metropolitana)",280.000,,"0,21 UF/m²","0,25 UF/m²",44 m²,42 m²,2,1,1,45000 CLP,,,,,,
56,Coronel Godoy 128 - Departamento 817,Departamento,Publicado hace 9 meses,2021-07-01,"Coronel Godoy 128 - Departamento 817, San Alberto Hurtado, Estación Central, RM (Metropolitana)",216.000,,"0,11 UF/m²",,68 m²,33 m²,1,1,,35000 CLP,,,,,,
57,Santa Petronila 32,Departamento,Publicado hace 9 meses,2021-07-01,"Santa Petronila 32, Metro Las Rejas, Estación Central, RM (Metropolitana)",200.000,,"0,29 UF/m²","0,26 UF/m²",23 m²,23 m²,1,1,,,,,,,,
58,Toro Mazote 110 - Departamento 3110,Departamento,Publicado hace 8 meses,2021-07-01,"Toro Mazote 110 - Departamento 3110, Metro Ecuador, Estación Central, RM (Metropolitana)",170.000,,"0,29 UF/m²","0,26 UF/m²",20 m²,20 m²,1,1,,,,,,,,
59,Metro Padre Hurtado,Departamento,Publicado hace 8 meses,2021-07-01,"Metro Padre Hurtado, Universidad de Santiago, Estación Central, RM (Metropolitana)",220.000,,"0,19 UF/m²","0,26 UF/m²",40 m²,37 m²,1,1,,,,,,,,
60,"Primer Mes Gratis!! La Coruña 4890, Metro Ecuador ",Departamento,Publicado hace 5 días,2021-07-01,"La Coruña 4800 - 5100, Estación Central, RM (Metropolitana)",320.000,,"0,21 UF/m²","0,22 UF/m²",51 m²,51 m²,2,2,,,,,,,,
61,"Primer Mes Gratis! Depto Ecuador 4678, Metro Ecuador ",Departamento,Publicado hace 5 días,2021-07-01,"Avenida Ecuador 4500 - 4800, Metro Ecuador, Estación Central, RM (Metropolitana)",315.000,,"0,18 UF/m²",,58 m²,58 m²,2,1,,,,,,,,
62,"Primer Mes Gratis!!depto Conde De Maule 4577, Metro Ecuador ",Departamento,Publicado hace 17 días,2021-07-01,"Conde Del Maule 4577, Metro Ecuador, Estación Central, RM (Metropolitana)",370.000,,"0,19 UF/m²","0,2 UF/m²",66 m²,66 m²,3,2,,,,,,,,
63,"Departamento Ecuador 4570, Metro Ecuador Y Las Rejas",Departamento,Publicado hace 24 días,2021-07-01,"Avenida Ecuador 4570, Metro Ecuador, Estación Central, RM (Metropolitana)",300.000,,"0,27 UF/m²","0,26 UF/m²",38 m²,38 m²,1,1,,,,,,,,
64,"Primer Mes Gratis!! Depto Ecuador 4707, Metro Ecuador ",Departamento,Publicado hace 5 días,2021-07-01,"Avenida Ecuador 4500 - 4800, Metro Ecuador, Estación Central, RM (Metropolitana)",320.000,,"0,22 UF/m²","0,24 UF/m²",50 m²,50 m²,2,2,,,,,,,,
65,"Primer Mes Gratis!!depto Conde De Maule 4642, Metro Ecuador ",Departamento,Publicado hace 24 días,2021-07-01,"Conde Del Maule 4642, Metro Ecuador, Estación Central, RM (Metropolitana)",250.000,,"0,24 UF/m²","0,26 UF/m²",35 m²,35 m²,1,1,,,,,,,,
66,Depto Cerca Metro San Alberto Hurtado,Departamento,Publicado hace 8 meses,2021-07-01,"Federico Scotto 130, Universidad de Santiago, Estación Central, RM (Metropolitana)",260.000,,"0,26 UF/m²","0,26 UF/m²",34 m²,32 m²,1,1,,40000 CLP,,,,,,
67,Coronel Souper 4060,Departamento,Publicado hace 8 meses,2021-07-01,"Coronel Souper 4060, San Alberto Hurtado, Estación Central, RM (Metropolitana)",220.000,,"0,27 UF/m²","0,26 UF/m²",27 m²,27 m²,1,1,1,25000 CLP,,,,,,
68,Primer Mes Gratis!! Santa Petronila Home Studio,Departamento,Publicado hace 5 días,2021-07-01,"Santa Petronila 1 - 300, Estación Central, RM (Metropolitana)",210.000,,"0,25 UF/m²","0,26 UF/m²",28 m²,28 m²,1,1,,,,,,,,
69,"Primer Mes Gratis!! Depto Ecuador 4678, Metro Ecuador",Departamento,Publicado hace 5 días,2021-07-01,"Avenida Ecuador 4500 - 4800, Estación Central, RM (Metropolitana)",340.000,,"0,25 UF/m²","0,24 UF/m²",45 m²,45 m²,2,2,,,,,,,,
70,San Alberto Hurtado 59,Departamento,Publicado hace 5 meses,2021-07-01,"San Alberto Hurtado 59, San Alberto Hurtado, Estación Central, RM (Metropolitana)",270.000,,"0,25 UF/m²","0,26 UF/m²",36 m²,36 m²,1,1,,56000 CLP,,,,,,
71,Metro San Alberto Hurtado,Departamento,Publicado hace 7 meses,2021-07-01,"Metro San Alberto Hurtado, San Alberto Hurtado, Estación Central, RM (Metropolitana)",270.000,,"0,23 UF/m²","0,26 UF/m²",40 m²,36 m²,1,1,,,,,,,,
72,"Primer Mes Gratis! Depto Conde De Maule 4577, Metro Ecuador ",Departamento,Publicado hace 17 días,2021-07-01,"Conde Del Maule 4577, Metro Ecuador, Estación Central, RM (Metropolitana)",370.000,,"0,23 UF/m²",,53 m²,53 m²,3,2,,,,,,,,
73,"Primer Mes Gratis! Depto +bodega Ecuador 5079, Metro Ecuador",Departamento,Publicado hace 17 días,2021-07-01,"Avenida Ecuador 5079, Metro Las Rejas, Estación Central, RM (Metropolitana)",400.000,,"0,19 UF/m²","0,2 UF/m²",72 m²,68 m²,3,2,,,,,,,,
74,"Primer Mes Gratis!! Hermoso Depto, Metro Ecuador ",Departamento,Publicado hace 17 días,2021-07-01,"Conde Del Maule 4577, Metro Ecuador, Estación Central, RM (Metropolitana)",340.000,,"0,21 UF/m²","0,22 UF/m²",55 m²,55 m²,2,2,,,,,,,,
75,"Departamento Ecuador 4570, Metro Ecuador ",Departamento,Publicado hace 5 días,2021-07-01,"Avenida Ecuador 4500 - 4800, Estación Central, RM (Metropolitana)",350.000,,"0,23 UF/m²","0,22 UF/m²",51 m²,51 m²,2,2,,,,,,,,
76,Primer Mes Gratis! Depto Metro Ecuador,Departamento,Publicado hace 5 días,2021-07-01,"Ecuador 4800 - 5100, Metro Ecuador, Estación Central, RM (Metropolitana)",400.000,,"0,19 UF/m²","0,2 UF/m²",71 m²,67 m²,3,2,,,,,,,,
77,Metro San Alberto Hurtado - Toro Mazotte,Departamento,Publicado hace 2 meses,2021-07-01,"Metro San Alberto Hurtado - Toro Mazotte, San Alberto Hurtado, Estación Central, RM (Metropolitana)",260.000,,"0,21 UF/m²","0,26 UF/m²",42 m²,38 m²,1,1,,,,,,,,
78,Santa Petronila 32,Departamento,Publicado hace 7 meses,2021-07-01,"Santa Petronila 32, Metro Las Rejas, Estación Central, RM (Metropolitana)",200.000,,"0,29 UF/m²","0,26 UF/m²",23 m²,23 m²,1,1,,,,,,,,
79,Lindo Depto Cerca Metro P.hurtado ,Departamento,Publicado hace 5 meses,2021-07-01,"Conde Del Maule 3900 - 4200, San Alberto Hurtado, Estación Central, RM (Metropolitana)",210.000,,"0,19 UF/m²","0,26 UF/m²",38 m²,36 m²,1,1,,,,,,,,
80,Ecuador 5079,Departamento,Publicado hace 7 meses,2021-07-01,"Ecuador 5079, Metro Ecuador, Estación Central, RM (Metropolitana)",300.000,,"0,21 UF/m²","0,25 UF/m²",49 m²,47 m²,2,1,,40000 CLP,,,,,,
81,Conde Del Maule / Metro Ecuador,Departamento,Publicado hace 6 meses,2021-07-01,"Conde Del Maule / Metro Ecuador, San Alberto Hurtado, Estación Central, RM (Metropolitana)",260.000,,"0,29 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,,,,,,,
82,"Departamento Linda Vista, Cerca Del Metro",Departamento,Publicado hace 6 meses,2021-07-01,"Coronel Souper 3900 - 4200, San Alberto Hurtado, Estación Central, RM (Metropolitana)",220.000,,"0,26 UF/m²","0,26 UF/m²",28 m²,28 m²,1,1,,,,,,,,
83,Coronel Souper 4060 - Departamento 801,Departamento,Publicado hace 6 meses,2021-07-01,"Coronel Souper 4060 - Departamento 801, San Alberto Hurtado, Estación Central, RM (Metropolitana)",200.000,,"0,28 UF/m²","0,26 UF/m²",24 m²,24 m²,1,1,,,,,,,,
84,Toro Mazotte 1 - 300,Departamento,Publicado hace 6 meses,2021-07-01,"Toro Mazotte 1 - 300, San Alberto Hurtado, Estación Central, RM (Metropolitana)",265.000,,"0,25 UF/m²","0,26 UF/m²",35 m²,35 m²,1,1,,,,,,,,
85,Toro Mazotte 1 - 300,Departamento,Publicado hace 6 meses,2021-07-01,"Toro Mazotte 1 - 300, San Alberto Hurtado, Estación Central, RM (Metropolitana)",345.000,,"0,33 UF/m²","0,25 UF/m²",35 m²,35 m²,2,1,,,,,,,,
86,Placilla 149 - Departamento 1208,Departamento,Publicado hace 6 meses,2021-07-01,"Placilla 149 - Departamento 1208, San Alberto Hurtado, Estación Central, RM (Metropolitana)",360.000,,"0,24 UF/m²","0,24 UF/m²",49.98 m²,48.57 m²,2,2,1,,,,,,,
87,Metro Pajaritos / Condominio Puerta Del Valle,Departamento,Publicado hace 6 meses,2021-07-01,"Metro Pajaritos / Condominio Puerta Del Valle, Metro Pajaritos, Estación Central, RM (Metropolitana)",499.990,,"0,19 UF/m²","0,2 UF/m²",90 m²,80 m²,3,2,1,,,,,,,
88,Nicasio Retamales 0190 - Departamento 127,Departamento,Publicado hace 6 meses,2021-07-01,"Nicasio Retamales 0190 - Departamento 127, Universidad de Santiago, Estación Central, RM (Metropolitana)",300.000,,"0,25 UF/m²","0,25 UF/m²",40 m²,40 m²,2,1,,27000 CLP,,,,,,
89,Depto Listo Para Habitar,Departamento,Publicado hace 6 meses,2021-07-01,"Radal 0102 - Departamento 2512, Metro Ecuador, Estación Central, RM (Metropolitana)",310.000,,"0,23 UF/m²","0,25 UF/m²",45 m²,45 m²,2,1,1,70000 CLP,,,,,,
90,Depto 2308,Departamento,Publicado hace 6 meses,2021-07-01,"Radal 66 - Departamento 2308 B, Metro Ecuador, Estación Central, RM (Metropolitana)",320.000,,"0,24 UF/m²","0,25 UF/m²",45 m²,45 m²,2,1,1,60000 CLP,,,,,,
91,"Primer Mes Gratis! Depto Ecuador 5079, Metro Ecuador ",Departamento,Publicado hace 17 días,2021-07-01,"Avenida Ecuador 5079, Metro Ecuador, Estación Central, RM (Metropolitana)",420.000,,"0,22 UF/m²","0,2 UF/m²",65 m²,65 m²,3,2,,,,,,,,
92,Ecuador 4698,Departamento,Publicado hace 6 meses,2021-07-01,"Ecuador 4698, Metro Ecuador, Estación Central, RM (Metropolitana)",350.000,,"0,26 UF/m²","0,25 UF/m²",45 m²,45 m²,2,1,,,,,,,,
93,Santa Petronila 32,Departamento,Publicado hace 6 meses,2021-07-01,"Santa Petronila 32, Metro Las Rejas, Estación Central, RM (Metropolitana)",190.000,,"0,26 UF/m²","0,26 UF/m²",25 m²,25 m²,1,1,,25000 CLP,,,,,,
94,Conde Del Maule  / Concón,Departamento,Publicado hace 5 meses,2021-07-01,"Conde Del Maule  / Concón, San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,28 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,40000 CLP,,,,,,
95,Radal 102,Departamento,Publicado hace 5 meses,2021-07-01,"Radal 102, Metro Ecuador, Estación Central, RM (Metropolitana)",230.000,,"0,24 UF/m²","0,26 UF/m²",32 m²,30 m²,1,1,,,,,,,,
96,Conde Del Maule / Metro Ecuador,Departamento,Publicado hace 5 meses,2021-07-01,"Conde Del Maule / Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",240.000,,"0,38 UF/m²","0,26 UF/m²",21 m²,21 m²,1,1,,,,,,,,
97,Avenida Ecuador 5079 - Departamento 310,Departamento,Publicado hace 5 meses,2021-07-01,"Avenida Ecuador 5079 - Departamento 310, Metro Las Rejas, Estación Central, RM (Metropolitana)",360.000,,"0,25 UF/m²","0,24 UF/m²",49 m²,49 m²,2,2,1,,,,,,,
98,Federico Scotto 112,Departamento,Publicado hace 5 meses,2021-07-01,"Federico Scotto 112, Universidad de Santiago, Estación Central, RM (Metropolitana)",275.000,,"0,21 UF/m²","0,25 UF/m²",44 m²,42 m²,2,1,,,,,,,,
99,Mejor Ubicación En Comuna Estación Central. Orientación,Departamento,Publicado hace 5 meses,2021-07-01,"Avenida Padre Alberto Hurtado 145 - Departamento 807, Universidad de Santiago, Estación Central, RM (Metropolitana)",8,257.016,"0,19 UF/m²","0,26 UF/m²",45 m²,41 m²,1,1,,45000 CLP,,,,,,
100,Primer Mes 50% Descuento!!! Depto Conde Del Maule 4577,Departamento,Publicado hace 17 días,2021-07-01,"Conde Del Maule 4577, Metro Ecuador, Estación Central, RM (Metropolitana)",340.000,,"0,22 UF/m²","0,22 UF/m²",51 m²,51 m²,2,2,,,,,,,,
101,¡oportunidad! Gral. Velásquez / Ecuador-metro Las Rejas.,Departamento,Publicado hace 3 meses,2021-07-01,"¡oportunidad! Gral. Velásquez / Ecuador-metro Las Rejas., Metro Las Rejas, Estación Central, RM (Metropolitana)",295.000,,"0,24 UF/m²","0,25 UF/m²",41 m²,40 m²,2,1,,50000 CLP,,,,,,
102,Arriendo En Estación Central,Departamento,Publicado hace 5 meses,2021-07-01,"Arriendo En Estación Central, Metro Ecuador, Estación Central, RM (Metropolitana)",280.000,,"0,2 UF/m²","0,26 UF/m²",48 m²,48 m²,1,1,,,,,,,,
