,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
1108,Corazon El Glof / Presidente Riesco / Benjamin,Departamento,Publicado hace 7 meses,2021-07-01,"Corazon El Glof / Presidente Riesco / Benjamin, Barrio El Golf, Las Condes, RM (Metropolitana)",620.000,,"0,42 UF/m²","0,37 UF/m²",50 m²,45 m²,1,1,,120000 CLP,15 años,,,,,
1109,Arrienda 2 Dormitorios Amoblado Full / El Golf,Departamento,Publicado hace 7 meses,2021-07-01,"Arrienda 2 Dormitorios Amoblado Full / El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",750.000,,"0,32 UF/m²","0,33 UF/m²",78 m²,70 m²,2,2,1,140000 CLP,,,,,,
1110,***calle Super Tranquila Y Encantadora / Vista / Cerca D...,Departamento,Publicado hace 7 meses,2021-07-01,"***calle Super Tranquila Y Encantadora / Vista / Cerca De Todo***, Barrio El Golf, Las Condes, RM (Metropolitana)",32,950.810,"0,23 UF/m²","0,27 UF/m²",140 m²,140 m²,3,2,1,,,,,,,
1111,***remodelado / Calle Super Tranquila Y Encantadora / Vi...,Departamento,Publicado hace 7 meses,2021-07-01,"***remodelado / Calle Super Tranquila Y Encantadora / Vista / Cerca De Todo***, Barrio El Golf, Las Condes, RM (Metropolitana)",36,1.069.661,"0,26 UF/m²","0,28 UF/m²",140 m²,140 m²,3,3,1,,,,,,,
1112,***amoblado / Gran Categoría / Open-concept***,Departamento,Publicado hace 7 meses,2021-07-01,"***amoblado / Gran Categoría / Open-concept***, Metro Escuela Militar, Las Condes, RM (Metropolitana)",2.600.000,,"0,49 UF/m²","0,26 UF/m²",180 m²,153 m²,3,3,2,,,,,,,
1113,Rosario Norte / Cerro Colorado Metro Manquehue,Departamento,Publicado hace 7 meses,2021-07-01,"Rosario Norte / Cerro Colorado Metro Manquehue, Parque Arauco, Las Condes, RM (Metropolitana)",850.000,,,,85 m²,78 m²,2,2,1,150000 CLP,,,,,,
1114,El Golf,Departamento,Publicado hace 7 meses,2021-07-01,"El Golf, Barrio El Golf, Las Condes, RM (Metropolitana)",1.500.000,,"0,55 UF/m²","0,43 UF/m²",91 m²,75 m²,1,2,2,400000 CLP,,,,,,
1115,Kennedy Cercano A Parque Arauco Colegio Alemán Colegio S...,Departamento,Publicado hace 7 meses,2021-07-01,"Kennedy Cercano A Parque Arauco Colegio Alemán Colegio San Pedro Nolasco, Parque Arauco, Las Condes, RM (Metropolitana)",52,1.545.065,"0,29 UF/m²","0,24 UF/m²",180 m²,160 m²,4,4,2,,,,,,,
1116,Avenida Presidente Riesco 4000,Departamento,Publicado hace 7 meses,2021-07-01,"Avenida Presidente Riesco 4000, Barrio El Golf, Las Condes, RM (Metropolitana)",12.000,8.733.120,"0,37 UF/m²","0,24 UF/m²",800 m²,740 m²,6,10,4,2000000 CLP,,,,,,
1117,Los Militares / Escuela Militar,Departamento,Publicado hace 7 meses,2021-07-01,"Los Militares / Escuela Militar, Metro Escuela Militar, Las Condes, RM (Metropolitana)",450.000,,"0,28 UF/m²",,55 m²,55 m²,1,1,1,90000 CLP,,,,,,
