,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
3120,,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,CONDOMINIO - Pié Andino - Trapenses,UF 33.000,$ 974.472.840,5,3,1.200 m²,400 m²,400 m²,346.292.350,06-02-2019,,,-33.3206,-70.5541
3121,,,,,,$ 974.472.840,5,3,983 m²,400 m²,,313.574.561,27-05-2019,2020 1ºSem,80,-33.3928,-70.5294
3122,,,,,,,,,:superficieTerreno: m²,265 m²,,301.276.197,08-06-2021,,,-33.3951,-70.5223
3123,Código: 1574028,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Maravillosa Casa Mediterránea,UF 84.400,$ 2.492.288.112,3,4,4.171 m²,490 m²,,942.318.478,25-04-2021,2020 1ºSem,80,-33.3944,-70.5272
3124,Código: 1550244,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Casa Maravillosa Los Domínicos Antiguo,UF 65.000,$ 1.919.416.200,5,3,3.100 m²,650 m²,,555.223.423,09-01-2019,2020 1ºSem,80,-33.3976,-70.5256
3125,Código: 101376342,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Mirador de las Condes,UF 36.000,$ 1.063.061.280,5,5,1.200 m²,410 m²,,390.163.889,27-06-2021,2020 1ºSem,80,-33.3978,-70.525
3126,Código: 101005061,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Camino Las Flores / Piedra Roja,UF 31.000,$ 915.413.880,5,4,1.000 m²,300 m²,,323.392.843,12-05-2021,2020 1ºSem,80,-33.3935,-70.5235
3127,,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Mirasol,UF 28.000,$ 826.825.440,4,3,560 m²,256 m²,256 m²,266.315.098,10-06-2020,2020 1ºSem,80,-33.3973,-70.5287
3128,,,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Camino La Fuente / Piedra Roja,UF 41.000,$ 1.210.708.680,6,9,1.850 m²,540 m²,540 m²,867.434.790,30-01-2019,2020 1ºSem,80,-33.396,-70.5251
3129,Código: 649,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,CAMINO MIRASOL/CAMINO LAS FLORES,UF 26.900,$ 794.343.012,4,3,700 m²,285 m²,285 m²,,12-12-2018,2020 1ºSem,80,-33.3973,-70.5287
3130,Código: 28111,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Camino Las Flores,UF 31.000,$ 915.413.880,4,4,1.000 m²,400 m²,,323.392.843,30-05-2021,2020 1ºSem,80,-33.3948,-70.5245
